,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,LR,1,0.509090909090909,0.6194444444444445,0.5576293675364883,0.5125,0.51875,26,17,25,16,"[0 0 0 1 1 1 1 1 0 1 1 1 1 0 0 0 0 1 1 1 0 1 1 0 0 0 1 1 1 0 1 1 1 0 0 0 1
 1 0 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 1 0 1 1 0 0 1
 1 0 0 1 1 1 0 1 0 1]",361128390,"(110, 246)"
1,Texts,LR,2,0.47102564102564104,0.6444444444444445,0.5427234753550543,0.4638888888888889,0.4034336419753086,27,12,30,15,"[0 1 1 0 1 0 1 1 1 0 0 1 1 1 1 1 0 1 1 0 1 0 1 0 1 1 1 0 1 0 1 1 0 1 0 1 0
 1 1 1 1 1 0 1 1 1 0 1 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 1
 1 1 0 1 0 0 1 1 1 1]",361128390,"(110, 246)"
2,Texts,LR,3,0.5085891885891886,0.6305555555555555,0.5548663324979114,0.5277777777777778,0.504591049382716,26,18,24,16,"[0 0 1 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0 1 1 1 1 0 0 1 0 1 1 1 0
 0 0 1 1 1 0 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 0 1
 1 0 0 1 1 1 1 0 1 0]",361128390,"(110, 246)"
3,Texts,LR,4,0.5186013986013986,0.6138888888888889,0.5556770714665451,0.5208333333333334,0.4873456790123457,26,18,24,16,"[1 1 0 0 1 1 1 0 0 1 1 0 0 1 0 0 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1
 1 0 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 0 1 0 0 1 1 1 1 0 1 0 1 1 1 0 0 0 0 0 1
 1 0 0 1 0 1 0 1 1 0]",361128390,"(110, 246)"
4,Texts,LR,5,0.4377838827838828,0.4527777777777778,0.4372655122655123,0.4305555555555555,0.44718364197530863,19,17,25,23,"[1 1 0 1 1 0 1 1 0 1 0 1 0 1 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 1 1 0 0 0 0 1 1
 0 1 0 0 0 1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 1 1 0
 0 1 0 1 1 0 1 0 1 1]",361128390,"(110, 246)"
5,Texts,LR,6,0.4568181818181818,0.5027777777777778,0.47543343653250775,0.45416666666666666,0.43861882716049383,21,17,25,21,"[1 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 1 1 0 1 1 0 1 0 1 1 0 1 1 1 1 0 0 0 0 1 1
 1 1 0 1 0 0 0 0 1 1 0 1 1 1 1 0 0 1 1 1 1 1 0 1 1 0 0 0 1 0 1 0 0 1 1 0 0
 1 1 1 0 0 0 1 1 1 1]",361128390,"(110, 246)"
6,Texts,LR,7,0.45564102564102565,0.5416666666666666,0.48583404899194377,0.4486111111111111,0.38962191358024695,23,15,27,19,"[1 0 0 1 1 0 1 1 1 0 0 1 0 1 1 1 0 0 0 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1
 0 1 1 0 1 0 1 1 0 1 1 0 1 1 1 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0
 1 1 1 1 0 0 0 0 1 1]",361128390,"(110, 246)"
7,Texts,LR,8,0.4564285714285714,0.49166666666666664,0.4664328463298715,0.47500000000000003,0.48371913580246917,21,19,23,21,"[0 1 1 0 0 1 1 0 0 1 1 1 1 0 1 0 0 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 0
 1 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1 1 1 0 0 1 1 0 0 1 1 1 0 1 0
 1 0 1 0 0 0 1 0 1 0]",361128390,"(110, 246)"
8,Texts,LR,9,0.4952991452991453,0.6305555555555555,0.5472829131652661,0.5166666666666666,0.5422453703703703,26,17,25,16,"[0 1 1 0 0 1 0 0 0 0 1 1 0 0 1 1 0 1 1 0 0 1 1 1 1 0 0 0 0 0 1 1 0 1 0 1 1
 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 0 1 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 0 1 0
 1 0 1 1 1 1 0 1 0 0]",361128390,"(110, 246)"
9,Texts,LR,10,0.5294949494949495,0.6694444444444444,0.5886121954502626,0.5402777777777777,0.4991512345679012,28,17,25,14,"[1 1 0 0 0 1 1 1 0 1 1 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 0 1 0
 0 1 1 0 1 0 0 0 1 1 1 0 1 0 1 0 0 1 0 0 1 0 1 1 0 0 1 1 1 1 1 1 0 1 1 0 1
 1 1 0 1 1 1 0 1 1 0]",361128390,"(110, 246)"
10,Texts,LR,11,0.5492424242424243,0.7222222222222222,0.6176470588235294,0.5611111111111111,0.471875,30,17,25,12,"[0 1 1 0 1 1 1 0 0 1 1 1 0 1 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 1 1 0 1 0 0 1 1
 0 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 0 0 1 1 0 0
 1 1 0 1 1 1 1 1 1 1]",361128390,"(110, 246)"
