,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,LR,1,0.6128205128205129,0.8583333333333333,0.7123453017570666,0.6555555555555556,0.6274884259259259,36,19,23,6,"[1 0 1 1 0 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 1 0 1
 1 1 1 1 0 0 0 1 1 0 0 0 1 1 1 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1
 1 0 1 1 1 1 0 0 1 0]",361128390,"(110, 246)"
1,Texts,LR,2,0.6848484848484848,0.9333333333333333,0.788421052631579,0.7513888888888889,0.7875771604938271,39,24,18,3,"[1 1 0 0 0 1 1 0 1 0 1 1 0 1 1 1 1 0 1 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 1 1
 1 1 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 0 1 1 1 1 1 0 1 1 1 1 0 0 1 1
 1 1 1 1 1 1 0 0 1 1]",361128390,"(110, 246)"
2,Texts,LR,3,0.7004745254745255,0.9277777777777778,0.7935562721031828,0.7527777777777778,0.8129243827160494,39,24,18,3,"[1 0 1 1 1 1 0 0 1 1 1 1 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
 0 1 1 1 0 0 0 0 1 1 0 1 1 0 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 1 0
 0 0 1 1 1 1 0 1 1 1]",361128390,"(110, 246)"
3,Texts,LR,4,0.7121212121212122,0.9277777777777778,0.8008020050125314,0.7569444444444444,0.775366512345679,39,25,17,3,"[0 0 1 1 1 1 0 1 0 1 0 0 1 1 0 1 1 1 1 0 1 0 1 0 0 1 0 0 0 1 1 1 1 1 1 0 1
 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1
 1 1 1 1 0 1 0 0 1 0]",361128390,"(110, 246)"
4,Texts,LR,5,0.7242579642579643,0.9333333333333333,0.8132857991681521,0.7791666666666667,0.7932291666666667,39,26,16,3,"[1 1 0 1 1 0 1 0 1 0 1 0 0 1 1 1 1 0 1 1 0 1 0 0 1 0 1 1 0 1 1 1 1 1 1 1 0
 1 1 1 0 1 0 1 0 1 1 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 0 0 1 1 1 0 0 0 0]",361128390,"(110, 246)"
5,Texts,LR,1,0.649941724941725,0.8805555555555555,0.7443301435406698,0.7041666666666667,0.6657600308641975,37,22,20,5,"[1 1 1 1 0 1 1 0 1 1 0 1 1 0 0 1 0 1 1 1 0 0 1 0 1 1 0 1 1 1 0 0 0 1 0 1 1
 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 0 0 1 1 0 0 0 1 1 1
 1 1 0 1 1 1 1 0 1 1]",25678624,"(110, 246)"
6,Texts,LR,2,0.7151282051282051,0.9333333333333333,0.8025906120023767,0.775,0.8267361111111111,39,26,16,3,"[1 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 1
 1 1 1 1 0 1 1 0 0 1 1 0 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 0
 1 0 0 1 1 1 1 1 1 0]",25678624,"(110, 246)"
7,Texts,LR,3,0.7224242424242424,0.9277777777777778,0.8119131161236425,0.7847222222222222,0.840991512345679,39,27,15,3,"[0 1 1 1 0 1 0 1 1 0 1 0 0 0 1 0 1 1 1 1 1 1 1 0 0 0 0 1 1 1 0 1 1 0 1 1 0
 1 1 1 0 0 1 1 0 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 1 0 1 1 1
 0 1 1 1 0 1 0 0 1 1]",25678624,"(110, 246)"
8,Texts,LR,4,0.7439393939393939,0.9305555555555556,0.8243697478991597,0.8,0.8405671296296297,39,28,14,3,"[0 1 1 1 0 1 1 0 0 0 1 1 1 1 0 1 1 1 0 1 0 1 1 1 0 0 1 0 1 1 1 1 0 1 1 1 0
 0 0 1 1 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 1 1 0 1 0 1 1 0 1 1 0 0 1 1 0 0 1
 1 1 1 1 0 1 0 1 1 1]",25678624,"(110, 246)"
9,Texts,LR,5,0.7263003663003663,0.9277777777777778,0.8061760461760462,0.775,0.8356481481481481,39,26,16,3,"[0 1 1 1 1 1 0 1 1 1 0 1 0 1 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1
 0 1 0 1 0 1 1 0 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 0 0
 0 0 1 1 0 0 0 1 0 0]",25678624,"(110, 246)"
