,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,LR,1,0.6054978354978355,0.8361111111111111,0.700884820747521,0.6458333333333334,0.5978780864197532,35,19,23,7,"[1 1 0 1 0 1 1 1 1 1 0 1 1 0 1 0 0 0 1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 0
 0 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 0 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1
 1 0 0 1 1 0 1 0 1 0]",361128390,"(110, 246)"
1,Texts,LR,2,0.6564102564102564,0.8805555555555555,0.74943115364168,0.7,0.6943287037037037,37,22,20,5,"[1 1 1 0 0 0 0 1 1 0 0 1 1 1 0 1 1 1 0 0 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 0 1
 1 1 1 1 1 0 0 1 1 0 0 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 0 1 1 0 1 1 1
 1 0 1 1 1 1 1 1 0 0]",361128390,"(110, 246)"
2,Texts,LR,3,0.6533189033189033,0.9,0.7541687979539642,0.7097222222222223,0.7481481481481481,38,22,20,4,"[1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 0 1 1 0 0 1
 1 0 1 0 1 1 1 1 1 1 0 0 1 0 0 1 0 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 1 1 1 0 1 1 1 0 0]",361128390,"(110, 246)"
3,Texts,LR,4,0.6992243867243867,0.9027777777777778,0.7741604278074866,0.7277777777777777,0.7878279320987654,38,23,19,4,"[1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1
 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 0 0 0 0 1 0 0 1 1 0
 0 0 0 1 0 0 1 1 0 0]",361128390,"(110, 246)"
4,Texts,LR,5,0.7030735930735931,0.9277777777777778,0.7979343072087721,0.763888888888889,0.8063464506172839,39,25,17,3,"[0 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 0
 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 1 1
 0 0 1 1 1 1 1 1 0 1]",361128390,"(110, 246)"
5,Texts,LR,1,0.6351981351981352,0.9083333333333333,0.7472089314194578,0.6930555555555555,0.6365162037037038,38,20,22,4,"[1 1 1 0 0 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1
 1 0 1 0 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 1
 0 1 1 1 1 0 1 1 1 0]",25678624,"(110, 246)"
6,Texts,LR,2,0.6505205905205905,0.8805555555555555,0.7427760577915377,0.6902777777777778,0.7573302469135803,37,21,21,5,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 1 1 1 1 0 1 1
 0 1 1 1 1 0 1 0 1 0 1 0 0 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1
 1 1 1 1 0 0 0 0 1 1]",25678624,"(110, 246)"
7,Texts,LR,3,0.6764069264069265,0.9027777777777778,0.7689800588427591,0.7263888888888889,0.7869405864197531,38,23,19,4,"[1 1 1 1 0 1 1 0 1 1 1 0 0 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1
 0 1 0 1 1 0 1 1 0 1 1 1 0 0 0 1 1 1 1 1 0 0 0 0 1 1 1 1 0 1 1 0 0 1 0 1 1
 1 0 1 0 1 1 1 0 1 1]",25678624,"(110, 246)"
8,Texts,LR,4,0.6984615384615385,0.9277777777777778,0.7926634768740032,0.7472222222222222,0.821508487654321,39,24,18,3,"[1 1 0 1 0 1 1 1 0 0 1 1 0 1 0 1 1 0 0 1 0 1 0 1 1 1 1 0 0 1 1 1 1 1 1 0 1
 1 0 1 0 1 0 1 1 0 0 1 0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 1 1 1 0 1 1 1 0
 0 1 1 1 1 1 1 1 1 1]",25678624,"(110, 246)"
9,Texts,LR,5,0.7121028971028971,0.9277777777777778,0.8009528927721148,0.7652777777777777,0.8310185185185185,39,25,17,3,"[0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0 1 1 0 1
 1 1 0 1 1 0 1 0 1 0 1 1 0 1 0 0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 0 1 1 1 1 1 0
 0 1 1 1 0 1 1 1 0 0]",25678624,"(110, 246)"
