,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,LR,1,0.5597712418300653,0.5933333333333334,0.5607548282470883,0.5777777777777778,0.5501481481481482,28,26,21,19,"[1 1 1 0 0 1 0 0 0 1 1 0 0 0 0 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 0 1 1 1 1 0 1
 1 0 0 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 1
 1 0 1 1 1 1 1 0 1 1 0 1 0 0 1 0 1 0 0 1]",361128390,"(134, 246)"
1,Texts,LR,2,0.5293589743589744,0.66,0.5790046211098843,0.5311111111111111,0.5330123456790123,31,19,28,16,"[1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 0 0 0 1 1 1 1 0 0 0 0 1 0 1 0 1 0 1
 1 1 0 1 0 1 1 1 0 1 1 1 1 0 0 0 1 0 0 0 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 1
 0 1 0 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 1 1]",361128390,"(134, 246)"
2,Texts,LR,3,0.4940909090909091,0.5755555555555556,0.5234165181224005,0.49777777777777776,0.5292345679012346,27,20,27,20,"[1 0 0 0 0 1 0 0 1 0 0 1 1 1 1 0 1 0 0 1 0 0 0 0 1 0 1 1 1 1 1 1 1 1 0 0 0
 0 1 1 1 1 0 0 0 0 1 1 1 1 0 1 0 1 1 1 1 0 0 1 0 1 1 0 1 0 1 1 1 1 0 1 1 1
 1 0 1 1 0 1 1 1 0 0 1 1 0 0 0 1 1 1 0 1]",361128390,"(134, 246)"
3,Texts,LR,4,0.4907685881370092,0.5866666666666667,0.5236328805294322,0.4988888888888889,0.4686666666666667,28,19,28,19,"[1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 1 0 1 0 0 1
 0 1 1 1 0 0 1 0 1 0 0 1 0 1 0 0 1 0 1 1 0 1 0 0 1 0 1 1 0 0 1 1 1 1 1 0 1
 1 0 1 1 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0]",361128390,"(134, 246)"
4,Texts,LR,5,0.46424242424242423,0.5177777777777778,0.47949776401788785,0.47,0.5167407407407407,24,20,27,23,"[0 0 0 1 0 0 0 1 0 1 1 1 1 1 0 1 1 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0
 1 1 1 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 1 0 1 1 1 0 0 1 1 0 0 1 1 1 0 1 1 0 0
 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1]",361128390,"(134, 246)"
5,Texts,LR,6,0.5010256410256411,0.6488888888888888,0.5594782410571885,0.5144444444444445,0.5716543209876543,30,18,29,17,"[1 0 1 0 1 1 0 0 0 1 1 1 0 0 0 1 0 1 0 1 0 1 0 0 0 1 1 0 0 0 1 1 0 0 1 1 1
 1 0 0 1 0 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 0 0 0 1 0 1 1 1 1 0 1 1 1 1 0 0
 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1]",361128390,"(134, 246)"
6,Texts,LR,7,0.5184065934065933,0.5822222222222222,0.5359743620074755,0.5211111111111111,0.5192345679012346,27,22,25,20,"[0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0
 1 1 0 0 1 1 1 1 1 0 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 0 1
 1 1 1 1 1 0 1 1 0 0 1 0 0 1 1 1 0 1 0 0]",361128390,"(134, 246)"
7,Texts,LR,8,0.49242424242424243,0.5755555555555555,0.5294053315105947,0.4888888888888889,0.5440493827160494,27,19,28,20,"[1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 1 1 0 1 1 1 1 1 0 1 0 0
 0 0 0 1 0 0 1 1 1 0 0 1 0 1 0 1 0 0 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 0 1 1 0
 0 0 1 1 1 0 1 0 0 1 0 1 1 1 1 1 1 1 0 1]",361128390,"(134, 246)"
8,Texts,LR,9,0.5142857142857142,0.5777777777777777,0.5360678764259327,0.5211111111111111,0.5766172839506173,27,22,25,20,"[1 1 1 0 0 1 1 1 0 0 0 1 0 1 0 1 1 0 0 1 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 1 1
 0 0 0 1 1 1 0 1 0 1 0 1 0 0 1 0 1 1 0 0 0 0 0 1 0 1 1 1 1 1 1 0 1 1 1 1 0
 1 1 1 1 1 1 0 1 1 0 0 1 0 1 1 1 0 0 1 1]",361128390,"(134, 246)"
9,Texts,LR,10,0.48848484848484847,0.5711111111111111,0.5226189001916556,0.4888888888888889,0.5414814814814815,27,19,28,20,"[0 1 1 1 0 0 1 1 0 0 1 1 1 1 0 1 0 1 1 1 0 0 1 0 1 1 1 0 0 0 1 1 1 1 1 1 0
 1 1 1 0 0 0 1 0 1 0 1 1 1 1 0 0 1 0 0 0 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 0 0
 1 0 1 1 1 0 0 1 1 0 1 1 1 0 1 0 0 1 0 0]",361128390,"(134, 246)"
10,Texts,LR,11,0.5864801864801865,0.6555555555555556,0.6082501708817498,0.5833333333333334,0.571679012345679,31,24,23,16,"[1 1 0 0 0 1 0 0 1 1 1 1 0 0 0 1 0 1 1 0 1 1 1 1 1 0 1 1 0 1 1 1 0 1 1 1 0
 1 1 1 1 0 1 0 1 0 1 0 0 1 1 1 1 1 1 1 1 0 0 1 1 0 1 0 1 1 0 1 1 0 0 0 0 1
 1 0 0 0 1 1 0 1 1 1 0 0 1 0 1 0 0 0 0 0]",361128390,"(134, 246)"
11,Texts,LR,12,0.4980769230769231,0.5533333333333333,0.5196842373312962,0.5111111111111111,0.5768641975308642,26,22,25,21,"[0 0 0 1 1 1 1 1 1 0 1 0 0 1 1 0 1 0 1 0 0 0 1 1 0 0 1 1 1 1 1 0 0 1 0 1 1
 0 1 0 0 0 0 1 1 1 1 0 1 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 1 0 1 1 1 0 0 0 1 1
 1 0 1 1 0 1 1 0 0 1 0 1 1 1 1 1 1 0 0 1]",361128390,"(134, 246)"
12,Texts,LR,13,0.5083333333333333,0.5777777777777777,0.5313725490196078,0.5122222222222222,0.5701481481481482,27,21,26,20,"[0 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0 1 1 0 1
 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 0
 1 1 1 1 0 1 1 0 1 1 1 0 1 0 1 0 1 1 0 1]",361128390,"(134, 246)"
13,Texts,LR,14,0.5381118881118881,0.6,0.561286965379037,0.5377777777777778,0.5773086419753086,28,22,25,19,"[0 0 0 0 1 0 1 0 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 0 1 1
 1 0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 1 1 1 0 0 1 1 0 1
 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 0 0 1 1 0]",361128390,"(134, 246)"
14,Texts,LR,15,0.5321367521367522,0.5777777777777778,0.546955266955267,0.52,0.5466172839506173,27,22,25,20,"[0 0 1 1 0 1 0 0 0 1 1 0 1 1 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1
 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 0 1 1 1 0 0 0 1 1
 0 0 1 0 1 0 0 1 1 0 1 0 0 1 1 0 1 1 1 0]",361128390,"(134, 246)"
15,Texts,LR,1,0.4309090909090909,0.5155555555555555,0.46645090988340415,0.4277777777777778,0.40829629629629627,24,16,31,23,"[0 1 1 1 0 0 1 1 1 0 1 1 1 0 0 0 1 0 0 0 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 1
 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0 0 0 1 0 0 1 1 0 1 1 0
 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1 0 0 0 0 1]",25678624,"(134, 246)"
16,Texts,LR,2,0.48337662337662335,0.5755555555555556,0.5125438596491227,0.47555555555555556,0.4680740740740741,27,18,29,20,"[0 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 0 1 1 1 0 1 0 0 1 0
 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 0 0 0 0 0 1 1
 0 1 1 1 1 0 1 0 1 0 0 0 1 1 1 0 1 1 0 1]",25678624,"(134, 246)"
