,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,NB,1,0.513095238095238,0.7638888888888888,0.6070289855072464,0.5041666666666667,0.5073688271604938,32,10,32,10,"[1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1
 1 0 0 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 0 0 0 0 0 1 1 0 1 1 1 1 1 1 1
 1 1 1 1 1 0 1 1 1 1]",361128390,"(110, 246)"
1,Texts,NB,2,0.47575757575757577,0.6888888888888889,0.5529399585921325,0.4875,0.3594907407407407,29,12,30,13,"[0 1 1 1 1 1 0 1 0 1 0 0 1 1 1 1 1 0 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1
 1 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 0 0 1 0 1
 0 1 1 1 0 0 0 1 1 0]",361128390,"(110, 246)"
2,Texts,NB,3,0.5368686868686868,0.7361111111111112,0.6190353120653296,0.5472222222222223,0.5176311728395062,31,15,27,11,"[1 1 1 0 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 0 1 1 1 0 1 0 0
 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 0 1 0 1 0 1 1 0 0 0 1 0 1 0 1 1 0 1 1 0 1 1
 1 0 1 1 1 0 1 1 1 1]",361128390,"(110, 246)"
3,Texts,NB,4,0.4947319347319347,0.7388888888888889,0.5915538847117795,0.4888888888888889,0.47858796296296297,31,10,32,11,"[1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1 1 0 1 0 0 1 1 1 0 1 1
 0 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 0
 1 1 1 1 1 1 0 1 0 1]",361128390,"(110, 246)"
4,Texts,NB,5,0.5230769230769231,0.7333333333333333,0.6094158981115503,0.5333333333333333,0.5781635802469136,31,14,28,11,"[1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 0 0 0 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1
 1 0 1 0 0 1 1 0 1 1 1 0 1 0 0 1 1 0 1 0 0 1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 0
 1 1 0 1 0 1 1 1 1 1]",361128390,"(110, 246)"
5,Texts,NB,6,0.5157575757575757,0.7583333333333333,0.6129672006102213,0.5236111111111111,0.5235339506172839,32,12,30,10,"[0 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1
 0 0 1 1 1 1 0 0 1 0 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 0 1 1 0 0 1 0 1 1 1 1
 0 0 1 1 1 1 0 1 1 1]",361128390,"(110, 246)"
6,Texts,NB,7,0.5060606060606061,0.6444444444444445,0.561243774397631,0.5,0.5542824074074074,27,15,27,15,"[1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 1 0 1 1 1 1 1 1 1
 1 0 0 0 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 0 1 0 1 0 1 0 0
 1 0 0 1 1 1 1 1 0 1]",361128390,"(110, 246)"
7,Texts,NB,8,0.486013986013986,0.6444444444444445,0.5531313131313131,0.4777777777777778,0.48302469135802467,27,13,29,15,"[1 0 1 1 0 1 0 1 1 1 0 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0
 1 1 1 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0
 1 1 0 1 1 1 1 0 0 1]",361128390,"(110, 246)"
8,Texts,NB,9,0.43653846153846154,0.6083333333333333,0.4981194295900178,0.425,0.43530092592592595,25,10,32,17,"[1 1 0 1 0 1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 0 0 1 0 1 0 0 1 0 1 0 1 1 1 0 1
 0 0 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 0
 1 0 1 1 1 1 0 0 0 1]",361128390,"(110, 246)"
9,Texts,NB,10,0.4996031746031746,0.6472222222222223,0.5582367149758454,0.49166666666666664,0.5101851851851852,27,14,28,15,"[0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 0 1 0 1 1 0 1 0 1 1 1 0 1 0 0 0 1 0 1
 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 1 1 1
 1 0 0 1 1 0 1 0 1 1]",361128390,"(110, 246)"
