,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,NB,1,0.5985714285714285,0.9027777777777778,0.7178550724637681,0.6444444444444445,0.6731674382716049,38,16,26,4,"[1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1
 1 1 0 0 1 1 1 1 0 0 1 0 1 1 1 1 1 0 0 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 0 1
 1 1 1 1 1 0 0 1 1 0]",361128390,"(110, 246)"
1,Texts,NB,2,0.6064102564102565,0.8638888888888889,0.7087552213868004,0.6486111111111111,0.7061921296296296,36,18,24,6,"[1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 1 0 0 1 1 1 1 1 1 1 0 0 1
 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0
 1 1 1 1 0 1 1 1 1 1]",361128390,"(110, 246)"
2,Texts,NB,3,0.654413821472645,0.9,0.7323404665509929,0.6819444444444445,0.7681905864197531,38,19,23,4,"[1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1
 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1
 0 1 0 1 0 1 1 1 1 1]",361128390,"(110, 246)"
3,Texts,NB,4,0.582051282051282,0.8361111111111111,0.6835216616290786,0.6111111111111112,0.6961033950617284,35,16,26,7,"[1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 0 1 0 1 0 1 0 0 1 1 1 1 1 1
 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 0 0
 1 1 0 1 1 0 1 0 0 1]",361128390,"(110, 246)"
4,Texts,NB,5,0.6246753246753247,0.9027777777777778,0.7377574370709382,0.6791666666666667,0.7347029320987655,38,19,23,4,"[1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 0 0 1 0 1 0 0 1 1 1 1 1 1 1 1
 1 1 1 1 0 1 0 0 1 1 1 1 0 0 1 1 1 0 0 1 1 0 1 1 1 1 1 1 1 0 0 0 1 0 1 1 0
 1 1 1 0 1 1 1 1 1 0]",361128390,"(110, 246)"
5,Texts,NB,1,0.6373626373626373,0.9055555555555556,0.7444665138782787,0.6902777777777778,0.7204668209876544,38,20,22,4,"[0 0 1 1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 0 1 1 1 1 0 0 0 1 1 1 1 1 0 1 1 1 1
 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 0 1 0 0 1
 1 0 1 1 1 0 0 0 1 1]",25678624,"(110, 246)"
6,Texts,NB,2,0.6362878787878788,0.8861111111111111,0.7295850196676688,0.6694444444444445,0.796875,37,19,23,5,"[0 1 0 0 0 0 1 1 0 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 0
 1 1 1 1 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1
 1 1 1 0 1 1 0 0 1 1]",25678624,"(110, 246)"
7,Texts,NB,3,0.6619047619047619,0.9305555555555556,0.7715942028985507,0.7194444444444444,0.8096064814814815,39,21,21,3,"[1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1
 1 0 1 0 0 1 0 1 1 1 0 1 1 1 1 1 0 0 1 1 0 1 0 0 1 0 1 1 1 1 1 0 1 0 1 1 1
 0 0 1 1 1 0 1 1 1 0]",25678624,"(110, 246)"
8,Texts,NB,4,0.647016317016317,0.8583333333333333,0.7357469431153641,0.6902777777777778,0.7689236111111111,36,22,20,6,"[1 1 1 1 0 1 1 0 0 0 1 1 0 0 1 1 1 0 1 1 0 1 1 1 1 0 0 1 0 1 1 1 1 0 0 1 1
 1 1 0 1 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1 0 1 0 0 1 1 1 0 1 1 1 0 1 0 1 1 1 1
 0 1 1 1 1 0 0 1 1 0]",25678624,"(110, 246)"
9,Texts,NB,5,0.6612121212121213,0.8833333333333333,0.755405179615706,0.7152777777777778,0.7621720679012346,37,23,19,5,"[1 1 1 0 1 1 1 0 0 0 1 1 0 0 1 1 1 0 1 1 0 0 0 1 1 1 1 1 0 0 1 1 0 1 1 1 0
 0 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 1 0 1 1 0 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1
 1 0 1 0 0 1 1 1 1 0]",25678624,"(110, 246)"
