,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,NB,3,0.7333333333333333,0.1611111111111111,0.2581818181818182,0.5680555555555555,0.6591435185185185,7,43,1,37,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1
 0 0 0 0 0 0 0 1 1 0 0 0 0 0]",361128390,"(123, 246)"
1,Texts,NB,4,0.8833333333333333,0.22777777777777777,0.3517016317016317,0.5916666666666667,0.6640046296296296,10,42,2,34,"[0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 1]",361128390,"(123, 246)"
2,Texts,NB,5,0.85,0.27499999999999997,0.39734265734265733,0.6027777777777779,0.6632716049382716,12,41,3,32,"[0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1
 0 0 1 0 0 0 1 0 1 0 0 0 0 0]",361128390,"(123, 246)"
3,Texts,NB,6,0.61,0.3277777777777778,0.40064935064935064,0.6166666666666667,0.6587191358024692,14,40,4,30,"[0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 1 1 1 1 0 0 0 0 1 1 1]",361128390,"(123, 246)"
4,Texts,NB,7,0.8583333333333333,0.2722222222222222,0.3703743315508021,0.5902777777777778,0.6633487654320988,12,40,4,32,"[0 0 0 1 0 0 1 0 1 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 1 0 0 1 0 0 0 0 0 0]",361128390,"(123, 246)"
5,Texts,NB,8,0.6866666666666666,0.23055555555555554,0.32717948717948714,0.5458333333333334,0.6059027777777778,10,38,6,34,"[0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
 1 1 0 0 0 0 0 1 0 0 0 0 1 1]",361128390,"(123, 246)"
6,Texts,NB,9,0.83,0.3416666666666667,0.4741258741258741,0.6263888888888889,0.676658950617284,15,40,4,29,"[0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0
 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
 0 0 1 0 0 0 0 0 0 0 0 0 1 0]",361128390,"(123, 246)"
7,Texts,NB,10,0.7833333333333333,0.3611111111111111,0.4925074925074925,0.6347222222222222,0.6385995370370371,16,40,4,28,"[1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 1 0 0 0 1 0 0 0 1 0 0 0 0]",361128390,"(123, 246)"
8,Texts,NB,11,0.8433333333333334,0.4527777777777778,0.5868864468864469,0.6805555555555556,0.7026041666666667,20,40,4,24,"[1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1
 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 1 1 0 0 0 0 0 1 0]",361128390,"(123, 246)"
9,Texts,NB,12,0.8647619047619047,0.47777777777777775,0.6042857142857143,0.6944444444444444,0.7187114197530864,21,40,4,23,"[1 0 0 1 1 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 1 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0
 0 0 0 1 0 0 0 1 0 0 1 0 0 0]",361128390,"(123, 246)"
