,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,RF,1,0.6142857142857143,0.32222222222222224,0.3183838383838384,0.525,0.571875,13,31,11,29,"[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0
 1 0 1 1 0 1 1 1 0 0]",361128390,"(110, 246)"
1,Texts,RF,2,0.7,0.18888888888888888,0.2945454545454545,0.5819444444444445,0.6156828703703704,8,41,1,34,"[0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0]",361128390,"(110, 246)"
2,Texts,RF,3,0.5686446886446886,0.7305555555555555,0.6025974025974026,0.5708333333333333,0.6316358024691359,30,18,24,12,"[1 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 1
 1 1 0 0 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1]",361128390,"(110, 246)"
3,Texts,RF,4,0.48615384615384616,0.7305555555555555,0.5813910533910535,0.6083333333333333,0.7080439814814815,31,20,22,11,"[1 0 1 1 0 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1
 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 0 0 0 0 0 0]",361128390,"(110, 246)"
4,Texts,RF,5,0.6293939393939394,0.8388888888888889,0.7174436090225564,0.6694444444444444,0.7243248456790123,35,21,21,7,"[0 1 1 1 0 0 0 0 0 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 0 1 0 0 1
 1 1 0 0 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1
 0 0 1 1 1 0 1 1 1 1]",361128390,"(110, 246)"
5,Texts,RF,6,0.6109090909090908,0.8305555555555555,0.703358395989975,0.6513888888888889,0.7129243827160494,35,20,22,7,"[1 1 1 1 0 1 1 1 1 1 0 0 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1
 0 0 0 0 1 0 1 1 1 1 1 1 0 1 0 1 1 0 1 1 0 1 1 1 0 1 1 0 0 1 1 0 0 1 1 1 1
 1 0 0 1 1 1 1 1 0 1]",361128390,"(110, 246)"
6,Texts,RF,7,0.6439393939393939,0.6194444444444445,0.6012721643681396,0.6319444444444444,0.7364197530864197,26,27,15,16,"[1 0 1 0 0 1 1 0 1 1 1 1 1 1 1 0 1 0 0 0 0 0 0 1 1 0 1 1 1 0 1 0 0 0 1 0 0
 0 1 0 0 1 1 1 1 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 1 1
 0 0 1 1 0 1 1 1 1 1]",361128390,"(110, 246)"
7,Texts,RF,8,0.6264102564102564,0.8277777777777777,0.7113929208046855,0.6625,0.7011574074074074,35,21,21,7,"[1 0 1 1 1 0 0 1 0 1 0 0 1 1 1 1 1 0 0 1 1 1 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0
 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 0 0 1 1 0 1 1 1 1 1 0 0 1 1 1 1 0 1 0
 1 0 1 0 1 1 1 0 0 1]",361128390,"(110, 246)"
8,Texts,RF,9,0.6260606060606061,0.8277777777777777,0.7073684210526315,0.6513888888888889,0.7278935185185185,35,20,22,7,"[1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 0 0 1 1 1 1 0 1 0 1 0 0 1 1 1 1 1 1 0 1 1 0
 1 0 0 1 0 0 1 1 0 1 1 1 1 0 0 1 1 0 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1
 1 1 0 1 1 1 1 0 1 1]",361128390,"(110, 246)"
9,Texts,RF,10,0.6243589743589744,0.8611111111111112,0.7224561403508772,0.6680555555555555,0.7647183641975309,36,20,22,6,"[0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 0 1 0 1 1
 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 0 0 1 1 1 0
 0 1 0 0 0 1 1 1 1 1]",361128390,"(110, 246)"
