,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,RF,1,0.5795238095238096,0.5166666666666667,0.5309041835357624,0.5722222222222222,0.5749228395061728,22,26,16,20,"[0 0 1 0 0 1 0 0 1 1 1 1 0 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 0 0 1
 0 1 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 1 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0
 0 0 0 0 0 1 1 1 0 0]",361128390,"(110, 246)"
1,Texts,RF,2,0.4751082251082251,0.6472222222222223,0.5401629072681704,0.4736111111111111,0.4238618827160494,27,13,29,15,"[1 0 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 1 1 1 0 0 1 1 1 0
 0 0 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1
 1 1 0 1 0 1 0 0 1 0]",361128390,"(110, 246)"
2,Texts,RF,3,0.5817832167832168,0.7138888888888889,0.6382376395534289,0.5958333333333333,0.5547839506172839,30,20,22,12,"[0 1 0 0 0 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 1
 0 1 1 0 1 1 1 0 0 0 0 0 1 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0
 1 0 1 0 1 0 0 0 0 0]",361128390,"(110, 246)"
3,Texts,RF,4,0.47153069153069155,0.4916666666666667,0.4698471119523751,0.4722222222222222,0.4458912037037037,21,19,23,21,"[1 0 1 1 0 1 0 0 0 1 1 0 1 1 1 0 0 1 0 1 1 1 1 0 0 1 0 1 1 0 1 0 0 1 0 0 1
 1 1 1 1 1 0 1 0 0 0 0 1 1 0 1 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 1 0 0 1 0 0 0
 1 0 0 0 0 0 1 0 1 1]",361128390,"(110, 246)"
4,Texts,RF,5,0.45222222222222225,0.5333333333333333,0.47265087853323146,0.4513888888888889,0.4387152777777778,22,16,26,20,"[0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1 0 1
 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 0 1 0 0 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0
 1 1 1 0 0 1 0 1 1 1]",361128390,"(110, 246)"
5,Texts,RF,6,0.5538888888888889,0.5527777777777778,0.5434284240011794,0.5486111111111112,0.5457175925925926,23,23,19,19,"[0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 1 0 1 1 0 1 0 0 1 1 1 1 1 0 1 1 0
 1 0 0 0 1 0 1 1 0 1 0 0 1 1 1 0 0 1 0 0 1 0 1 1 0 0 1 1 1 1 1 1 0 1 0 1 0
 1 0 1 0 1 1 0 0 1 0]",361128390,"(110, 246)"
6,Texts,RF,7,0.5005555555555555,0.5305555555555556,0.5095424836601307,0.5125,0.4840277777777778,22,21,21,20,"[0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 1 0 1 0 0
 1 0 0 0 1 0 1 1 1 1 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 1 1 0 0 0 1 0 0 0 1 1 1
 0 1 1 1 0 0 1 1 1 1]",361128390,"(110, 246)"
7,Texts,RF,8,0.435,0.4916666666666667,0.45403828197945845,0.4375,0.48308256172839503,21,16,26,21,"[0 0 1 0 1 0 1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 0 1
 0 1 1 0 1 1 1 0 0 1 1 0 0 1 1 0 0 0 1 0 1 1 1 1 0 0 1 1 0 0 0 0 1 0 1 1 0
 1 0 0 1 1 0 0 1 0 0]",361128390,"(110, 246)"
8,Texts,RF,9,0.5212698412698412,0.5611111111111111,0.5266706013509083,0.5222222222222223,0.46531635802469135,24,20,22,18,"[0 0 1 1 1 1 1 0 1 0 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 0 1 1 0
 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 1 0 0 0 1 0 1 1 0 1 1
 1 0 1 1 1 1 0 0 0 0]",361128390,"(110, 246)"
9,Texts,RF,10,0.5064646464646465,0.6861111111111111,0.578963072643245,0.5013888888888889,0.4179591049382716,29,13,29,13,"[1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 0 1 1
 1 1 0 0 0 1 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 0 0 0 1 0 1 0 1 0 1 1 1 0 1 1 1
 1 0 1 1 0 1 0 0 1 1]",361128390,"(110, 246)"
10,Texts,RF,1,0.5929365079365079,0.47777777777777775,0.5224603174603175,0.5597222222222222,0.5051697530864198,20,27,15,22,"[1 0 1 1 1 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 1
 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 0 0 0 1 1 1 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0
 1 0 1 1 1 1 0 0 1 1]",25678624,"(110, 246)"
11,Texts,RF,2,0.40198412698412694,0.35833333333333334,0.37626050420168067,0.41527777777777775,0.3870563271604938,15,20,22,27,"[0 0 1 0 1 0 1 0 1 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1
 0 1 0 0 1 1 1 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 1 0 1 0 1 0 0 0 1 1
 0 1 0 1 0 1 1 1 0 1]",25678624,"(110, 246)"
12,Texts,RF,3,0.4538383838383838,0.47777777777777775,0.4553142282554047,0.4305555555555555,0.4318094135802469,20,16,26,22,"[0 1 1 0 0 0 0 1 1 0 0 1 0 1 1 1 1 0 1 0 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 0 1
 0 0 0 1 0 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 0 0 1 1 0 1 0 1 1 1 1 0 1 1 1 1 0
 0 0 0 1 0 0 0 1 0 0]",25678624,"(110, 246)"
13,Texts,RF,4,0.4994949494949495,0.575,0.524593837535014,0.5097222222222222,0.48018904320987654,24,19,23,18,"[1 0 1 0 1 0 1 1 1 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0
 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1 0 0 1 0 1 1 0 0 1 1 1 0 1 1 1 0 1 1 1 0 1
 1 1 0 0 1 0 1 1 1 1]",25678624,"(110, 246)"
14,Texts,RF,5,0.46944444444444444,0.5027777777777778,0.48179271708683474,0.48055555555555557,0.4199266975308642,21,19,23,21,"[1 1 1 1 1 1 0 0 1 1 1 0 1 0 1 1 0 1 0 1 0 0 1 0 1 1 0 0 1 1 1 0 0 0 1 0 0
 0 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 1 1 1 0 0
 1 1 0 1 0 1 0 1 0 1]",25678624,"(110, 246)"
15,Texts,RF,6,0.5016666666666667,0.5416666666666666,0.5140238416554206,0.5097222222222222,0.47434413580246915,23,20,22,19,"[0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 0 1 0 0 1 0 1 1 0 1 0 0 1 1 0 0 1 1
 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 1 1 1
 1 1 0 1 0 1 1 0 0 0]",25678624,"(110, 246)"
16,Texts,RF,7,0.4640909090909091,0.49444444444444446,0.47486633249791144,0.46111111111111114,0.47256944444444443,21,18,24,21,"[0 1 1 0 0 0 0 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 1 0 1 0 1 1 1 1 1
 1 1 0 0 0 1 0 1 1 0 1 1 1 0 0 1 1 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0
 1 0 0 1 1 0 0 1 0 1]",25678624,"(110, 246)"
17,Texts,RF,8,0.5377777777777778,0.6055555555555555,0.5616619981325864,0.5666666666666667,0.613059413580247,25,22,20,17,"[0 0 1 1 1 0 1 0 1 0 0 0 0 0 1 0 1 0 1 1 0 1 0 1 0 1 1 1 1 0 1 0 0 0 1 1 0
 0 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 1 1 1 0 1 0 1 1 1 1 0 1 1
 1 1 0 0 1 1 1 1 1 1]",25678624,"(110, 246)"
