,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,RF,1,0.41714285714285715,0.5166666666666666,0.4593483709273183,0.41805555555555557,0.3951581790123457,23,14,30,21,"[0 1 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 1 1 1 1 0 0 0 1 1 1 1 1 0 0 1 1 1
 1 0 0 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0 1 0 0 0 1 1 1 0 1 1 1 0 1 0 1 1 0 0 1
 1 0 0 1 1 0 0 1 0 1 1 0 0 0]",361128390,"(128, 246)"
1,Texts,RF,2,0.46935064935064935,0.475,0.46451127819548865,0.47638888888888886,0.3739197530864198,21,21,23,23,"[1 1 0 1 1 1 0 0 1 1 1 0 1 1 0 0 1 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0
 0 1 0 0 0 1 1 1 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1 0
 0 1 1 0 1 0 0 1 1 1 0 1 0 0]",361128390,"(128, 246)"
2,Texts,RF,3,0.4813131313131313,0.5666666666666667,0.5184126984126984,0.4777777777777778,0.45144675925925926,25,17,27,19,"[0 0 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0
 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 0 1 1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 1 1 1 1 0
 0 0 0 1 1 0 1 0 1 0 1 0 1 1]",361128390,"(128, 246)"
3,Texts,RF,4,0.39597069597069595,0.3888888888888889,0.37543290043290045,0.39999999999999997,0.4151427469135803,17,18,26,27,"[1 1 1 1 0 1 0 0 1 1 1 1 0 1 1 0 1 0 1 1 0 0 0 0 1 1 1 0 0 0 1 1 1 0 1 1 0
 0 0 1 1 0 1 1 0 1 1 1 0 1 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0
 0 1 1 1 1 1 0 0 0 0 1 1 0 0]",361128390,"(128, 246)"
4,Texts,RF,5,0.39960317460317457,0.3888888888888889,0.38827731092436973,0.4097222222222222,0.3767361111111111,17,19,25,27,"[0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 1 1 0 1 1 1 0 1 0 1 0 0 0 1 1 1 1 0 0 1
 0 0 0 0 0 0 1 1 1 0 0 1 1 0 1 0 0 1 1 0 0 0 1 0 1 1 0 1 0 0 1 0 1 1 1 1 1
 1 1 0 1 1 1 1 0 0 0 0 1 1 0]",361128390,"(128, 246)"
5,Texts,RF,6,0.5423809523809524,0.6305555555555555,0.5807017543859648,0.5541666666666667,0.5801697530864197,28,21,23,16,"[0 0 0 1 1 1 0 1 1 1 1 0 1 0 1 0 1 0 0 0 0 1 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1
 1 1 0 1 1 1 0 1 0 0 1 0 1 1 1 0 0 1 1 1 1 1 1 0 0 0 1 0 0 1 1 0 1 0 1 1 0
 1 1 0 0 1 1 1 1 1 0 0 0 0 0]",361128390,"(128, 246)"
6,Texts,RF,7,0.45575757575757575,0.49722222222222223,0.4623076923076923,0.4458333333333333,0.5229166666666667,22,17,27,22,"[1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1 0 1 0 1 1 0 1 0 0 1 0 0 1 1
 0 1 1 1 1 1 1 0 0 0 1 1 0 0 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 1 1 0 0 1 1 0 0
 0 1 1 0 0 0 0 1 0 0 1 0 0 1]",361128390,"(128, 246)"
7,Texts,RF,8,0.5251948051948052,0.4777777777777778,0.49097744360902257,0.5111111111111111,0.5326774691358025,21,24,20,23,"[0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 1 1 1 0 0 0 1 0 1 1 0 1 1 1 1 0 0
 1 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 1 1 1 1 0 0 0 1 1 1 1
 1 0 0 0 0 1 0 1 0 1 1 0 1 1]",361128390,"(128, 246)"
8,Texts,RF,9,0.5394383394383394,0.6416666666666667,0.5736975013290803,0.5333333333333333,0.5795524691358025,28,19,25,16,"[0 1 0 1 0 0 1 1 1 0 1 0 0 1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 0 1 1 0 1 0 1
 1 1 1 0 1 0 1 1 1 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 1 0 1 0 0 1 0 1
 1 1 1 1 1 1 0 1 1 0 1 1 1 1]",361128390,"(128, 246)"
9,Texts,RF,10,0.4238095238095238,0.42777777777777776,0.4182456140350877,0.4291666666666667,0.44116512345679015,19,19,25,25,"[1 1 0 1 0 0 1 1 0 1 0 0 0 0 1 1 0 1 1 0 1 1 1 1 1 1 1 0 0 0 0 1 1 0 1 1 0
 0 0 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 1 1 1 0 1 0 1
 1 1 0 0 0 1 1 1 0 1 0 1 0 0]",361128390,"(128, 246)"
