,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,SVC2,51,0.6043438914027149,0.7909090909090909,0.6803166109253066,0.6272727272727273,0.7169752066115702,41,24,28,11,"[1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 1 0 1 0 1 0 1 1 1 1
 0 0 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 0 0 1 1 1 1 0 0 0 1 1 0 1 0 1 0 0 1 0 1
 0 0 1 0 1 0 1 0 1 1 1 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1]",361128390,"(144, 246)"
1,Texts,SVC2,52,0.6474561403508772,0.9018181818181819,0.7500875420875421,0.6936363636363636,0.7389504132231405,47,25,27,5,"[1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1
 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 0 0 1 0 1 1 0 1 0 1 0 1 1 0 0 1 1 1
 1 1 0 1 0 1 0 1 1 0 1 0 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 0 0 1]",361128390,"(144, 246)"
2,Texts,SVC2,53,0.6652631578947368,0.8472727272727273,0.7350672316189557,0.69,0.7921900826446281,44,28,24,8,"[1 1 0 0 1 1 1 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 1 1 1 0 1 0 1 0 0 0 0 1 1 1 0
 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 0 1 0 1 0 1 0 0 1 1 1 1 0 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 0 0 1 0 1 1 1 1 0 1 1 1 0]",361128390,"(144, 246)"
3,Texts,SVC2,54,0.6623076923076923,0.8854545454545455,0.7549627004679478,0.7036363636363636,0.7651735537190083,46,27,25,6,"[0 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 1 1 1 1 1 0 0 1 0 0 1 1 1 1 1 1 1 0 1 1
 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 0 0 1 1 0 0 1 1 1 0
 0 0 1 1 0 1 0 1 0 1 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 1 0 1]",361128390,"(144, 246)"
4,Texts,SVC2,55,0.6535714285714286,0.8436363636363636,0.7289021491380837,0.6845454545454546,0.7345619834710744,44,27,25,8,"[1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1
 0 1 1 0 1 0 1 1 0 1 1 1 1 1 1 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1
 1 0 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 0 0 1 0]",361128390,"(144, 246)"
5,Texts,SVC2,56,0.629313725490196,0.8454545454545455,0.7124297924297924,0.6745454545454546,0.7254214876033058,44,26,26,8,"[0 1 0 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 0 0 1 1 1 0
 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 0 1 1 1 0 0 0 0 0 1 1 1 1 0 0
 1 0 1 0 1 0 1 1 1 1 0 1 0 1 0 1 1 1 0 1 1 1 0 0 1 0 1 1 0 1]",361128390,"(144, 246)"
6,Texts,SVC2,57,0.6483333333333333,0.8654545454545455,0.7374934630586805,0.69,0.7347438016528925,45,27,25,7,"[0 1 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1
 1 1 1 1 0 1 1 0 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1
 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 0 1 0 0 0 0 0 1 1]",361128390,"(144, 246)"
7,Texts,SVC2,58,0.5933760683760684,0.8636363636363636,0.7017798792911236,0.6345454545454545,0.7106446280991736,45,21,31,7,"[1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1
 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 0 0 1 0 0 0 1 1 1 1 1 1 0 1 0
 1 0 0 0 1 1 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1]",361128390,"(144, 246)"
8,Texts,SVC2,59,0.6208823529411764,0.8145454545454546,0.6961491841491841,0.6463636363636364,0.7392148760330579,42,25,27,10,"[1 1 1 1 0 1 1 1 1 0 0 1 0 1 1 1 0 0 0 1 1 0 1 0 0 1 1 1 1 0 0 0 0 1 0 0 1
 0 0 0 1 0 1 0 1 1 1 1 1 1 1 0 0 1 0 1 0 1 0 0 1 1 1 0 0 1 1 0 1 1 0 1 1 1
 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1]",361128390,"(144, 246)"
9,Texts,SVC2,60,0.6583150183150183,0.8090909090909091,0.7217644674166412,0.6918181818181818,0.7648264462809917,42,30,22,10,"[1 1 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 0 1 0
 1 1 1 1 1 1 0 1 1 0 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1
 0 1 0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 0 0 0 0 1 1 0 0 1]",361128390,"(144, 246)"
