,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,SVC2,1,0.4,0.04444444444444444,0.07999999999999999,0.5222222222222223,0.5222222222222223,2,44,0,42,"[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",361128390,"(123, 246)"
1,Texts,SVC2,2,0.2,0.04444444444444444,0.07272727272727272,0.5222222222222223,0.5778356481481481,2,44,0,42,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",361128390,"(123, 246)"
2,Texts,SVC2,3,0.42426470588235293,0.8,0.5542564102564103,0.5444444444444445,0.6395061728395062,35,13,31,9,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",361128390,"(123, 246)"
3,Texts,SVC2,4,0.32016806722689073,0.5777777777777777,0.4109253065774805,0.5333333333333333,0.6758101851851852,26,21,23,18,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 0 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",361128390,"(123, 246)"
4,Texts,SVC2,5,0.8,0.15833333333333333,0.25717171717171716,0.5680555555555555,0.6973379629629629,7,43,1,37,"[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0
 1 0 0 0 0 1 0 0 0 0 0 0 0 0]",361128390,"(123, 246)"
5,Texts,SVC2,6,0.5058823529411764,0.26666666666666666,0.2511888111888112,0.5444444444444445,0.6779320987654321,12,36,8,32,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 0 0 0 1 0 1
 1 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",361128390,"(123, 246)"
6,Texts,SVC2,7,0.22,0.2222222222222222,0.18636363636363634,0.5333333333333333,0.6505979938271605,10,37,7,34,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",361128390,"(123, 246)"
7,Texts,SVC2,8,0.3333333333333333,0.06944444444444445,0.1111111111111111,0.5236111111111111,0.6843364197530865,3,43,1,41,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",361128390,"(123, 246)"
8,Texts,SVC2,9,0.7058823529411765,0.3111111111111111,0.3239160839160839,0.5666666666666667,0.6812885802469136,14,36,8,30,"[0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1
 1 1 0 0 0 1 0 1 1 1 0 1 1 1 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",361128390,"(123, 246)"
9,Texts,SVC2,10,0.8,0.2472222222222222,0.34444444444444444,0.6236111111111111,0.6043402777777778,11,44,0,33,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 0]",361128390,"(123, 246)"
10,Texts,SVC2,11,0.5666666666666667,0.19166666666666665,0.2555844155844156,0.5833333333333334,0.6528742283950617,8,43,1,36,"[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0
 0 0 0 0 1 0 0 1 1 1 0 0 1 0]",361128390,"(123, 246)"
11,Texts,SVC2,12,0.92,0.18055555555555555,0.28288600288600285,0.5680555555555555,0.5695408950617284,8,42,2,36,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0]",361128390,"(123, 246)"
12,Texts,SVC2,13,0.9,0.23055555555555554,0.35818181818181816,0.6041666666666666,0.6943672839506173,10,43,1,34,"[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 1 1 0 0 0 1]",361128390,"(123, 246)"
13,Texts,SVC2,14,0.65,0.2222222222222222,0.28271493212669685,0.5666666666666667,0.6537422839506173,10,40,4,34,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 1 1 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",361128390,"(123, 246)"
14,Texts,SVC2,15,0.8928571428571429,0.26944444444444443,0.3744794094794095,0.6013888888888889,0.7643904320987654,12,41,3,32,"[0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1
 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0]",361128390,"(123, 246)"
