,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,SVC2,1,0.5184188034188034,0.5272727272727272,0.5159051474840948,0.5272727272727272,0.5586776859504132,29,29,26,26,"[0 1 0 1 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 1 0 1 1 0
 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 0 1 0
 1 1 1 1 1 1 0 1 0 0 0 0 1 1 1 0 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 0 0 0 0]",361128390,"(151, 246)"
1,Texts,SVC2,2,0.49920255183413076,0.6363636363636364,0.5371496308877712,0.4909090909090909,0.5223140495867769,35,19,36,20,"[0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0 0 1 1 0 1 0 0 1
 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0
 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 1 1 1]",361128390,"(151, 246)"
2,Texts,SVC2,3,0.5329554655870445,0.5454545454545454,0.5198412698412698,0.5363636363636364,0.5669421487603306,30,29,26,25,"[0 0 0 0 1 1 0 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 1 1 0 0 0 1 0
 1 1 0 0 0 1 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 1 1 0
 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 1 0 1 1 0 0 0 1 0 1 1 1 1 1 0]",361128390,"(151, 246)"
3,Texts,SVC2,4,0.4808225108225108,0.5454545454545454,0.4956800350679069,0.4818181818181818,0.568595041322314,30,23,32,25,"[0 0 0 0 0 0 1 0 0 1 1 1 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 1 1
 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 0 1 1 0 1
 0 1 1 1 1 0 1 1 0 1 1 1 0 0 0 1 0 0 1 0 1 1 0 1 1 0 1 1 1 1 0 0 0 0 0 1]",361128390,"(151, 246)"
4,Texts,SVC2,5,0.5516666666666666,0.5454545454545454,0.5416511177609575,0.5363636363636364,0.5586776859504132,30,29,26,25,"[0 0 0 0 0 1 0 0 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1 0 1 0 0 1 0 1 1 1 1 0 0 0 1
 1 0 0 0 1 0 1 1 0 1 0 1 0 0 0 1 0 0 1 0 0 1 1 1 1 1 1 0 1 0 0 0 0 0 1 0 1
 0 0 0 1 1 1 1 0 1 1 0 0 1 1 0 0 0 1 0 1 1 0 1 1 1 1 1 1 1 0 0 1 0 1 0 1]",361128390,"(151, 246)"
5,Texts,SVC2,6,0.5282051282051282,0.5818181818181818,0.5467399829497017,0.5545454545454546,0.5454545454545455,32,29,26,23,"[0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 1 1 0 1 1 1 0
 1 0 1 1 1 1 1 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 1 1 0 1 1 1 0 0 1 0 1 1 1 1 1
 0 1 0 1 0 1 0 1 1 0 1 1 1 0 1 0 0 1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 0 0]",361128390,"(151, 246)"
6,Texts,SVC2,7,0.5760843731431967,0.6363636363636364,0.5985319028797289,0.5818181818181818,0.5719008264462809,35,29,26,20,"[1 0 1 1 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1
 1 1 1 0 1 1 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 1 1 1 0 0 1 0 1 0 1 0 0 0 0 1 1
 1 0 1 1 0 1 1 1 1 0 0 1 1 0 1 0 1 0 1 0 1 1 0 0 1 1 0 0 1 1 1 0 1 0 1 1]",361128390,"(151, 246)"
7,Texts,SVC2,8,0.4976470588235294,0.5636363636363636,0.503570231511408,0.5272727272727272,0.5702479338842975,31,27,28,24,"[1 1 1 1 1 0 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 0 1 1
 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 1 1 1 0 1
 0 1 1 1 1 0 1 0 1 0 1 1 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0]",361128390,"(151, 246)"
8,Texts,SVC2,9,0.5153113553113553,0.5636363636363636,0.5299145299145299,0.509090909090909,0.5702479338842975,31,25,30,24,"[0 1 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 1 1 0 1 1 0 1 0 0
 1 0 0 0 0 1 1 0 1 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 0 1 0 1 1
 0 1 1 1 0 0 0 1 0 0 1 1 0 1 1 1 0 1 1 1 1 1 0 1 1 0 1 0 1 1 0 0 0 0 1 0]",361128390,"(151, 246)"
9,Texts,SVC2,10,0.5787878787878787,0.5818181818181818,0.5794089968003011,0.5818181818181818,0.6264462809917355,32,32,23,23,"[0 1 0 0 0 1 1 0 1 0 0 1 0 1 1 1 1 1 1 0 1 0 0 1 1 0 1 0 0 1 0 0 1 1 1 0 1
 0 0 0 1 0 0 1 1 1 0 1 1 0 0 1 0 1 0 0 0 1 1 0 1 0 1 0 0 1 1 1 0 0 0 0 1 0
 1 1 0 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 1 0 1 1 1 1 0 1 1 1 0 0 0 1 1 1 0]",361128390,"(151, 246)"
