,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,XG,1,0.6009523809523809,0.5944444444444444,0.5949432404540763,0.6041666666666666,0.5955246913580247,26,27,17,18,"[1 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 1 0 0 1 0 1
 1 0 0 1 0 0 1 0 0 1 0 1 1 1 1 1 0 0 0 1 1 1 0 0 1 1 1 0 0 1 0 1 0 0 0 1 0
 0 1 1 1 0 0 1 1 0 1 0 1 1 1]",361128390,"(123, 246)"
1,Texts,XG,2,0.47727272727272724,0.4472222222222222,0.4541176470588235,0.5194444444444444,0.5451003086419753,20,26,18,24,"[0 0 0 0 1 0 1 0 1 0 1 1 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1
 1 0 0 1 0 0 0 0 0 1 0 1 1 0 1 1 1 1 1 0 0 0 1 1 1 1 0 1 1 1 0 0 1 1 0 0 1
 0 0 0 0 0 0 1 1 1 0 0 0 0 0]",361128390,"(123, 246)"
2,Texts,XG,3,0.4409090909090909,0.4472222222222222,0.4333333333333333,0.4638888888888889,0.4527777777777778,20,21,23,24,"[0 1 1 0 1 1 1 0 1 0 1 0 1 1 1 0 1 0 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0
 0 1 1 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 1 0 0 0 1 0 0
 0 0 0 0 0 0 1 0 1 0 0 0 1 1]",361128390,"(123, 246)"
3,Texts,XG,4,0.42295482295482295,0.40555555555555556,0.4072489601901367,0.41805555555555557,0.4047453703703704,18,19,25,26,"[1 0 0 0 0 1 0 1 1 1 1 1 0 0 0 1 1 1 0 0 1 1 0 1 1 1 1 1 0 0 1 1 0 0 1 1 0
 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 1 0 0 1 0 1 1 1 0 1 1 0 0 1 0 0 0 0 0 1 1 1
 1 0 0 0 0 0 1 0 0 1 0 1 1 1]",361128390,"(123, 246)"
4,Texts,XG,5,0.5138888888888888,0.5472222222222223,0.519386189258312,0.5111111111111111,0.4434799382716049,24,21,23,20,"[0 0 0 0 0 1 1 1 0 0 1 0 1 1 0 0 0 1 1 0 0 0 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0
 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 0 0 0 0 1 0 0 1 0 1 1 1 1 0
 0 0 1 1 1 0 0 1 1 0 1 0 1 1]",361128390,"(123, 246)"
5,Texts,XG,6,0.3853968253968254,0.36666666666666664,0.3742690058479532,0.4,0.36797839506172836,16,19,25,28,"[0 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 1 1 0 1 1 0 0 1 1 0 1 0 0 1 0
 0 1 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 1 0
 1 0 1 1 0 0 1 0 1 1 0 0 1 1]",361128390,"(123, 246)"
6,Texts,XG,7,0.39740259740259737,0.4361111111111111,0.41026315789473683,0.3986111111111111,0.37789351851851855,19,16,28,25,"[1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 1 0 1 0 1 1 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0
 0 0 0 0 1 1 1 1 0 0 1 0 1 1 1 1 1 0 0 0 0 0 1 0 1 1 1 1 1 1 1 0 0 1 0 0 1
 0 0 1 1 0 1 0 1 1 1 0 1 1 1]",361128390,"(123, 246)"
7,Texts,XG,8,0.45071428571428573,0.39166666666666666,0.4123295985060691,0.4777777777777778,0.43267746913580246,17,25,19,27,"[1 1 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 1 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0
 1 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 1 1 1 0 0 1 0 0 1 0 0 0 1 0 0 0
 1 1 1 0 1 1 0 0 1 1 0 1 0 1]",361128390,"(123, 246)"
8,Texts,XG,9,0.43746031746031744,0.47777777777777775,0.4544903926482874,0.45555555555555555,0.475462962962963,21,19,25,23,"[0 0 0 1 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 0 1 0 1 0 0 1 1 0 0 1
 1 1 0 0 0 0 1 1 1 1 1 0 1 0 1 1 1 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 0 0 1 1 1
 1 0 0 0 1 0 1 1 0 0 0 0 1 1]",361128390,"(123, 246)"
9,Texts,XG,10,0.44025974025974024,0.49722222222222223,0.4652631578947368,0.43194444444444446,0.4298996913580247,22,16,28,22,"[0 0 1 1 1 1 1 1 0 0 1 0 1 0 0 1 1 1 1 0 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 0 1
 0 1 0 0 1 1 1 1 1 0 1 0 0 0 0 1 1 1 1 1 0 0 1 1 0 1 0 1 1 0 1 0 1 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 0 1]",361128390,"(123, 246)"
10,Texts,XG,1,0.4766233766233766,0.5222222222222223,0.49546783625730995,0.475,0.4873263888888889,23,19,25,21,"[0 0 0 0 0 1 1 1 1 1 0 0 0 0 1 1 0 1 0 1 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0 0 1
 1 1 0 1 1 0 1 0 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 0 0 1 1 1 1
 1 0 1 1 0 1 1 1 0 1 0 0 0 1]",25678624,"(123, 246)"
11,Texts,XG,2,0.36217948717948717,0.4361111111111111,0.38625923096511333,0.3402777777777778,0.27353395061728397,19,11,33,25,"[0 0 1 0 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 1 1 1 1 0 0 0 1 1 1 1 0 1 0 0 1 1 1
 1 1 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 1 0 0 0 1 1 1 1 1 1 1 1 0 1
 1 1 1 1 1 0 1 1 1 0 1 1 1 1]",25678624,"(123, 246)"
