,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,XG,1,0.0,0.0,0.0,0.5,0.5,0,44,0,44,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",361128390,"(128, 246)"
1,Texts,XG,2,0.6333333333333333,0.2861111111111111,0.30666666666666664,0.5222222222222223,0.5968364197530864,12,34,10,32,"[0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0
 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 1 1 1 1 1 1 1 0 1 1 1 1 1 1]",361128390,"(128, 246)"
2,Texts,XG,3,0.74,0.33888888888888885,0.4545054945054945,0.5916666666666667,0.6133873456790123,15,37,7,29,"[0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0
 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 1
 0 0 0 0 0 0 1 0 0 0 0 0 0 0]",361128390,"(128, 246)"
3,Texts,XG,4,0.72,0.3388888888888889,0.4523809523809524,0.6,0.6138117283950617,15,38,6,29,"[0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 1 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 1 1 0]",361128390,"(128, 246)"
4,Texts,XG,5,0.7033333333333334,0.4083333333333333,0.5001508295625943,0.6236111111111111,0.6682870370370371,18,37,7,26,"[0 0 0 1 1 1 1 0 0 0 1 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0
 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0
 0 0 1 0 0 1 1 0 0 0 0 0 1 0]",361128390,"(128, 246)"
5,Texts,XG,6,0.6933333333333334,0.3138888888888889,0.3995144724556489,0.5569444444444445,0.5588348765432098,14,35,9,30,"[1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0
 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 0]",361128390,"(128, 246)"
6,Texts,XG,7,0.6395238095238095,0.40555555555555556,0.49217948717948723,0.5875,0.6544753086419753,18,34,10,26,"[1 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1
 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 1 0 0
 0 1 1 0 1 0 0 0 1 0 1 0 0 0]",361128390,"(128, 246)"
7,Texts,XG,8,0.44242424242424244,0.31666666666666665,0.35333333333333333,0.5444444444444444,0.5459297839506173,14,34,10,30,"[1 0 0 0 1 1 0 1 0 1 1 1 0 1 0 1 1 0 0 1 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 0
 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 0 0 0 0 0 1 1 0]",361128390,"(128, 246)"
8,Texts,XG,9,0.77,0.525,0.6177117000646413,0.6736111111111112,0.7145833333333333,23,36,8,21,"[1 1 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0
 0 1 1 1 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1
 0 0 1 0 0 1 1 0 0 0 0 1 0 0]",361128390,"(128, 246)"
9,Texts,XG,10,0.6442857142857142,0.4777777777777778,0.5419607843137255,0.6013888888888889,0.6088734567901235,21,32,12,23,"[0 1 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0
 1 0 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0 1 1
 1 0 0 0 1 0 1 0 1 0 0 0 1 1]",361128390,"(128, 246)"
10,Texts,XG,11,0.57,0.4083333333333333,0.4684292178409825,0.5541666666666667,0.5558063271604938,18,31,13,26,"[1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1 0 0 1 0 0 0
 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1
 1 0 0 1 0 0 0 0 0 1 1 0 1 1]",361128390,"(128, 246)"
11,Texts,XG,12,0.53,0.33888888888888885,0.39957586273375745,0.5222222222222223,0.5525848765432099,15,31,13,29,"[0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0
 0 0 1 1 1 0 0 1 1 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0
 0 0 0 1 1 0 1 0 0 0 0 1 0 0]",361128390,"(128, 246)"
12,Texts,XG,13,0.7389682539682539,0.5,0.5768350930115637,0.6375,0.6474729938271605,22,34,10,22,"[1 0 0 0 0 1 1 0 0 0 1 1 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 1 0 0 0 0 0 1 1 0 1 1 0 1 1 0 1 0 1 0 0 1 1 0 1 0 0 1 0 1 0 1 0 0 1 1 0 1
 1 0 0 0 1 0 0 0 0 0 1 0 0 0]",361128390,"(128, 246)"
13,Texts,XG,14,0.4633333333333333,0.31666666666666665,0.35128205128205126,0.4986111111111111,0.494483024691358,14,30,14,30,"[0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 1 1 0
 1 0 0 1 1 1 0 1 1 0 1 1 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
 0 0 0 1 0 1 1 1 0 0 0 0 0 0]",361128390,"(128, 246)"
14,Texts,XG,15,0.6616666666666666,0.3638888888888889,0.43562320032908264,0.5569444444444445,0.5415702160493827,16,33,11,28,"[1 0 0 1 0 0 1 0 1 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 1 0 1 1 0 0 0 0 1 1 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1
 0 1 0 0 1 1 0 0 1 0 0 0 0 0]",361128390,"(128, 246)"
15,Texts,XG,16,0.7361904761904762,0.45555555555555555,0.5592857142857143,0.6388888888888888,0.6935185185185185,20,36,8,24,"[1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1 1 0 0 1
 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1
 0 0 0 0 0 0 1 0 0 0 1 1 0 0]",361128390,"(128, 246)"
16,Texts,XG,17,0.7611111111111111,0.5166666666666666,0.5696502190619838,0.625,0.681442901234568,23,32,12,21,"[1 0 0 1 1 1 0 0 1 1 0 1 0 1 0 0 1 1 0 1 0 1 1 1 1 0 1 1 0 0 1 1 0 0 0 1 0
 0 1 0 0 0 0 0 1 1 1 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 0
 0 0 1 1 0 0 0 0 0 0 0 0 0 0]",361128390,"(128, 246)"
17,Texts,XG,18,0.5147186147186147,0.4083333333333333,0.4434453781512605,0.4736111111111111,0.5153356481481483,18,24,20,26,"[1 0 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1
 1 1 0 1 1 0 1 0 0 1 1 1 1 1 1 0 0 1 0 0 1 0 1 1 1 0 1 0 0 0 1 0 1 0 0 1 1
 0 1 0 0 1 0 0 1 0 1 0 0 1 1]",361128390,"(128, 246)"
18,Texts,XG,19,0.5626923076923077,0.475,0.4963903743315508,0.5305555555555556,0.5791087962962963,21,26,18,23,"[0 0 0 0 0 1 1 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 0
 1 1 0 0 1 0 1 0 1 1 1 0 1 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0
 1 0 1 1 1 0 0 0 1 1 0 1 1 0]",361128390,"(128, 246)"
19,Texts,XG,20,0.5881385281385281,0.48333333333333334,0.4959523809523809,0.5444444444444444,0.6282021604938272,21,27,17,23,"[1 0 0 1 0 0 1 0 0 0 1 0 1 0 1 1 1 0 1 0 0 0 0 1 1 0 0 1 1 1 1 0 0 1 0 1 0
 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0
 0 1 1 1 0 1 1 1 1 1 1 0 0 1]",361128390,"(128, 246)"
20,Texts,XG,21,0.559018759018759,0.5222222222222223,0.5348412698412699,0.5472222222222222,0.6239969135802469,23,25,19,21,"[1 0 0 0 0 1 1 0 1 1 0 1 1 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 1 1 0 0
 1 1 1 0 1 0 1 0 1 1 0 1 0 1 1 0 0 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 0 0 1 0 1
 0 0 0 1 0 0 1 0 1 0 0 1 1 0]",361128390,"(128, 246)"
21,Texts,XG,22,0.5188034188034188,0.525,0.48302255289467566,0.5236111111111111,0.6308449074074074,23,23,21,21,"[1 1 0 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 0 1 1 1 1 0
 1 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 1
 0 0 0 0 1 0 1 0 1 0 1 0 0 1]",361128390,"(128, 246)"
22,Texts,XG,23,0.5942124542124542,0.5638888888888889,0.5503012929099885,0.5791666666666667,0.6971064814814815,25,26,18,19,"[0 0 0 1 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0
 1 1 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 0 1 1 0
 0 0 0 0 1 0 0 0 1 0 1 1 0 0]",361128390,"(128, 246)"
23,Texts,XG,24,0.5971428571428572,0.5222222222222223,0.5384678620612124,0.5819444444444445,0.661766975308642,23,28,16,21,"[1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 1 0 0
 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 1 0 0 0 1 0 1 1 1 1 0 0 1 1 0 0 0 0 0 1 1 1
 0 0 0 0 1 0 0 1 0 1 0 0 0 0]",361128390,"(128, 246)"
24,Texts,XG,25,0.6269230769230769,0.42777777777777776,0.4787522281639929,0.5444444444444444,0.650366512345679,19,29,15,25,"[1 0 0 1 0 1 1 1 0 0 0 0 1 1 1 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 0 0 1 0
 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 1 1 0 1 1 0 0 0 1 1 0 1 0 0 1 1
 1 1 1 0 0 0 0 0 0 1 1 0 0 0]",361128390,"(128, 246)"
25,Texts,XG,1,0.0,0.0,0.0,0.5,0.5,0,44,0,44,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",25678624,"(128, 246)"
26,Texts,XG,2,0.49159663865546216,0.4611111111111111,0.40909090909090906,0.4861111111111111,0.5038966049382716,20,23,21,24,"[1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0
 1 1 1 1 1 0 1 1 1 1 0 1 1 1]",25678624,"(128, 246)"
