,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,XG,1,0.4919230769230769,0.42444444444444446,0.4414973262032086,0.47444444444444445,0.45797530864197533,20,25,22,27,"[0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0 1 1 1 1 0 0 0 1 0 1 0
 0 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1 1 1 1 1 1 0
 0 0 1 0 1 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0]",361128390,"(134, 246)"
1,Texts,XG,2,0.467027417027417,0.45555555555555555,0.4572549019607843,0.48333333333333334,0.5505555555555556,21,24,23,26,"[0 0 1 0 1 1 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1 1 1 1 0 0 1 0 1 0 0 1 1 0 1 0 1 1 0 1 1 0 0
 1 1 1 0 0 0 1 0 1 1 1 0 0 1 0 0 0 1 1 1]",361128390,"(134, 246)"
2,Texts,XG,3,0.4791452991452992,0.4911111111111111,0.48227815916603106,0.47000000000000003,0.4454814814814815,23,21,26,24,"[0 1 0 1 0 0 1 0 1 1 0 1 1 1 0 0 0 0 0 0 1 1 1 1 0 1 0 1 1 0 0 0 1 0 1 1 0
 1 1 1 1 0 1 0 0 0 0 1 1 1 1 1 0 0 0 1 0 1 1 1 0 0 0 1 0 1 1 1 1 0 0 0 0 1
 0 1 1 0 0 1 1 1 0 1 0 1 0 0 0 1 0 1 1 1]",361128390,"(134, 246)"
3,Texts,XG,4,0.5445177045177045,0.6022222222222222,0.5654314038214967,0.5566666666666666,0.5446172839506174,28,24,23,19,"[1 1 1 0 1 0 1 0 0 0 1 0 0 1 1 1 1 0 1 1 0 1 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0
 0 0 0 1 0 0 0 1 0 0 0 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 0 1 0
 1 0 0 1 1 0 1 1 1 1 1 0 1 0 0 0 1 0 1 0]",361128390,"(134, 246)"
4,Texts,XG,5,0.4716089466089466,0.508888888888889,0.48590102707749766,0.47,0.4905185185185185,24,20,27,23,"[1 1 0 1 0 1 1 0 1 1 0 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1
 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 0 1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 0 0 1 1 1
 1 0 1 1 1 1 0 1 0 0 1 1 0 1 0 0 1 0 1 0]",361128390,"(134, 246)"
5,Texts,XG,6,0.5187590187590188,0.5511111111111111,0.5286758563074353,0.5122222222222222,0.5506172839506173,26,22,25,21,"[1 1 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 0 0 1 1 1 1 1 1 0 1 0 1 1 0 0 1 0 1 0
 1 0 1 0 0 0 0 0 1 0 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 0 0 1 1 0 0
 0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 1 1 0 0 0]",361128390,"(134, 246)"
6,Texts,XG,7,0.575050505050505,0.62,0.5927141382868937,0.5855555555555556,0.6372839506172839,29,26,21,18,"[1 0 0 0 0 1 1 0 0 0 1 1 0 1 1 1 0 0 1 1 0 1 1 1 0 0 1 1 0 1 0 0 1 1 0 0 0
 0 1 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 0 1 1
 1 1 0 0 1 1 1 1 1 1 0 1 0 0 0 0 1 1 0 1]",361128390,"(134, 246)"
7,Texts,XG,8,0.5100505050505051,0.5066666666666666,0.5071207430340557,0.5066666666666667,0.538320987654321,24,24,23,23,"[0 0 1 0 1 1 1 1 1 0 1 0 0 1 1 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 1 1 1 0 1 1
 1 0 0 1 0 1 0 0 0 1 1 0 0 0 1 0 1 1 1 0 1 1 0 1 0 1 0 1 1 0 1 1 0 0 0 0 0
 1 1 1 1 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 1]",361128390,"(134, 246)"
8,Texts,XG,9,0.561056721056721,0.6444444444444445,0.5965823650034177,0.5777777777777777,0.6312098765432099,30,24,23,17,"[1 1 1 1 1 0 0 0 1 0 1 0 0 1 1 0 1 0 1 0 0 1 0 1 0 0 0 1 1 1 0 1 1 1 1 0 0
 0 0 0 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 0 0 0 1 1 0 0 1 0 1 1 1 1 1 0
 0 0 0 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 0]",361128390,"(134, 246)"
9,Texts,XG,10,0.5787878787878787,0.5733333333333334,0.5637932854301141,0.5722222222222222,0.6126172839506173,27,27,20,20,"[1 1 1 1 1 1 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1
 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 1 1 0 0 0 0 1 0 0 1 0 1 0 1 0
 1 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 1 0 0 1]",361128390,"(134, 246)"
