,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,kNN3,5,0.7,0.20833333333333331,0.3158041958041958,0.5666666666666667,0.6375771604938272,9,39,3,33,"[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 1 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 1 0]",361128390,"(110, 246)"
1,Texts,kNN3,6,0.6177777777777778,0.8555555555555555,0.7139495798319327,0.6430555555555556,0.7040123456790124,36,18,24,6,"[1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 0 1 1 0 1 0 1 1 0 1 0 0 1 1
 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 1 0 0 1 0 1 1 0
 1 0 1 1 1 1 0 0 1 0]",361128390,"(110, 246)"
2,Texts,kNN3,7,0.78,0.33055555555555555,0.4533333333333333,0.6194444444444445,0.5863811728395062,14,38,4,28,"[0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0
 0 0 1 0 0 0 0 0 0 0]",361128390,"(110, 246)"
3,Texts,kNN3,8,0.6351981351981352,0.9055555555555556,0.7454545454545455,0.6888888888888889,0.7287808641975309,38,20,22,4,"[0 1 0 1 0 0 1 1 1 1 1 1 0 1 1 0 0 1 1 0 1 1 1 0 1 1 1 0 0 1 0 1 1 1 1 1 1
 1 1 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1
 0 1 1 0 1 1 1 1 1 1]",361128390,"(110, 246)"
4,Texts,kNN3,9,0.6123809523809524,0.6416666666666666,0.6084126984126984,0.6208333333333333,0.7031828703703704,27,25,17,15,"[0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0 0 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 0 1 1 0 0
 1 0 1 0 1 1 0 0 1 0 1 1 1 0 0 1 0 1 1 1 1 0 0 0 1 0 1 1 1 0 1 1 0 1 1 0 1
 1 1 0 0 1 0 0 0 0 1]",361128390,"(110, 246)"
5,Texts,kNN3,10,0.664029304029304,0.8277777777777777,0.6606418219461698,0.6305555555555555,0.6581983024691358,35,18,24,7,"[0 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 1
 1 1 1 1 1 1 1 1 0 1]",361128390,"(110, 246)"
6,Texts,kNN3,11,0.6599999999999999,0.8527777777777777,0.7322222222222222,0.7027777777777777,0.7653935185185186,36,23,19,6,"[1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 0 1
 1 0 1 1 1 1 1 1 0 1 1 0 0 1 1 1 0 0 0 1 1 1 1 0 1 0 1 1 0 0 0 1 0 0 0 1 0
 1 0 1 0 1 0 0 1 1 0]",361128390,"(110, 246)"
7,Texts,kNN3,12,0.6671062271062271,0.8638888888888889,0.7327812284334023,0.6916666666666667,0.7375578703703703,36,22,20,6,"[0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 0
 0 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 0 0 1
 0 0 1 1 1 1 1 1 1 1]",361128390,"(110, 246)"
8,Texts,kNN3,13,0.583030303030303,0.8527777777777777,0.6903508771929824,0.6194444444444445,0.6571373456790124,36,16,26,6,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1
 0 1 1 1 1 0 0 1 1 1 1 1 0 1 1 0 0 0 0 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1
 1 1 0 1 0 1 0 1 1 0]",361128390,"(110, 246)"
9,Texts,kNN3,14,0.5324675324675324,0.7861111111111111,0.6341862561542195,0.5486111111111112,0.5855324074074074,33,13,29,9,"[0 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1
 0 1 0 0 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 0 1 1 0 1 0 0 0 1]",361128390,"(110, 246)"
