,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,kNN3,1,0.5351648351648352,0.5694444444444444,0.5476874003189792,0.5263888888888889,0.5323109567901234,25,21,23,19,"[1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 0 1
 1 1 1 1 1 1 0 0 1 1 1 1 1 0 0 0 0 1 1 0 1 0 1 1 0 1 1 0 0 0 1 1 0 1 0 1 1
 0 0 0 0 1 1 0 0 0 0 1 1 0 1]",361128390,"(123, 246)"
1,Texts,kNN3,2,0.6368253968253968,0.6805555555555556,0.6457602339181286,0.6375,0.5859953703703704,30,26,18,14,"[0 1 1 1 0 0 0 1 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1 1 1
 0 1 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 1 1 0 1 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0
 1 1 0 1 0 1 0 0 1 0 0 0 1 0]",361128390,"(123, 246)"
2,Texts,kNN3,3,0.5168253968253969,0.5194444444444444,0.5124269005847953,0.5222222222222223,0.5035493827160494,23,23,21,21,"[0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 1 1 1 1 0 1 1 1 0 0 0 0 0 1 0 1 1 0 1
 1 1 1 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 0 0 0 1 1 1 1 0 0 1 0 1 0 0 1 0
 1 1 0 0 0 1 0 0 0 0 1 1 0 0]",361128390,"(123, 246)"
3,Texts,kNN3,4,0.5876190476190476,0.5888888888888889,0.580250626566416,0.5791666666666667,0.5876350308641975,26,25,19,18,"[0 1 0 1 1 1 0 1 1 1 1 0 1 1 0 0 0 0 1 0 1 1 0 1 0 1 1 0 1 0 1 1 1 0 1 1 1
 1 1 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 1 1
 0 1 1 0 0 0 1 0 1 0 1 0 0 1]",361128390,"(123, 246)"
4,Texts,kNN3,5,0.5214646464646464,0.55,0.5327264239028945,0.5055555555555555,0.4864583333333334,24,20,24,20,"[0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 1 1 1
 1 1 1 1 1 0 0 1 0 1 1 0 1 1 0 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 0 0 1 1
 0 1 0 1 1 0 0 1 0 0 1 1 0 0]",361128390,"(123, 246)"
5,Texts,kNN3,6,0.3845238095238095,0.3638888888888889,0.37089635854341735,0.3875,0.35285493827160497,16,18,26,28,"[0 0 0 1 0 0 0 0 1 1 1 1 1 0 0 1 0 0 1 0 1 0 1 1 1 1 1 1 1 0 1 0 0 0 0 0 1
 0 1 0 1 1 1 1 0 0 1 1 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 1 1 1 0 1 0 1 0 0 1
 0 0 1 1 0 1 0 0 1 0 1 0 0 1]",361128390,"(123, 246)"
6,Texts,kNN3,7,0.5568253968253969,0.5916666666666667,0.5551414768806073,0.5222222222222223,0.519753086419753,26,20,24,18,"[1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 0 0 1 1 1
 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 0 1 0 1 1 0 1 1 1 0
 1 0 1 1 0 0 1 1 1 1 1 0 0 1]",361128390,"(123, 246)"
7,Texts,kNN3,8,0.42792929292929294,0.475,0.4483660130718954,0.4166666666666667,0.38645833333333335,21,16,28,23,"[1 0 1 0 0 0 1 1 0 0 1 1 0 0 0 1 1 0 0 1 0 1 0 1 1 1 1 1 0 1 1 1 1 0 0 0 0
 1 0 1 1 1 1 1 1 1 0 0 1 1 0 0 0 1 1 0 0 1 0 0 1 0 0 1 1 1 1 0 1 0 1 1 0 1
 1 0 0 0 0 0 1 1 0 1 1 1 1 1]",361128390,"(123, 246)"
8,Texts,kNN3,9,0.44666666666666666,0.5222222222222223,0.4799498746867168,0.43333333333333335,0.4371141975308642,23,15,29,21,"[1 1 1 1 0 0 1 1 0 0 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 0 0 1 1 1 1 0 0 0 1 1
 1 0 1 0 1 1 0 1 0 1 1 1 1 0 0 1 1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 1 1 1 1 0 1
 1 0 0 0 1 0 0 0 0 1 1 1 1 1]",361128390,"(123, 246)"
9,Texts,kNN3,10,0.4638383838383838,0.5444444444444444,0.49954887218045113,0.4527777777777778,0.4582175925925926,24,16,28,20,"[0 0 1 0 0 1 0 0 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 0 1 1 0 1 0 0 1 1 1 0 1 1
 0 1 0 1 0 0 1 1 1 0 1 0 0 1 1 0 1 1 1 0 0 0 1 0 1 1 0 1 0 1 1 1 1 0 0 1 1
 1 1 1 1 0 0 1 1 1 1 0 0 1 0]",361128390,"(123, 246)"
10,Texts,kNN3,11,0.5746392496392496,0.6138888888888889,0.5884920634920635,0.5805555555555556,0.5453317901234568,27,24,20,17,"[0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 1 1 0 1 1 0 1 1 0 0 1 0 1 1 1 0 1 1 0 0 0 1
 1 1 0 0 0 1 0 1 1 1 1 1 0 1 0 0 0 0 0 1 0 1 1 0 1 1 1 1 1 1 0 1 0 1 0 0 0
 1 1 0 1 1 0 1 1 1 1 0 0 0 1]",361128390,"(123, 246)"
11,Texts,kNN3,12,0.49666666666666665,0.5638888888888889,0.5173703489492963,0.4902777777777778,0.49068287037037034,25,18,26,19,"[1 1 0 0 0 0 1 0 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 0 1 1 1
 0 0 1 1 1 0 1 1 0 1 1 1 1 0 1 0 0 0 1 1 0 1 1 0 0 1 1 1 1 1 0 1 1 0 0 1 0
 1 0 0 1 0 0 0 1 1 0 0 1 0 0]",361128390,"(123, 246)"
12,Texts,kNN3,13,0.5016233766233766,0.5472222222222223,0.5179102167182662,0.4986111111111111,0.4806905864197531,24,20,24,20,"[1 0 1 1 1 0 1 1 1 0 0 1 0 0 1 0 0 0 0 1 1 1 0 1 1 1 0 1 0 0 1 1 0 0 1 0 1
 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 1 0 1 0 1 1 1 1 1 0 1 0 0 0 1 0 1 1 0 1 1 1
 1 1 1 1 1 0 1 1 0 1 0 0 1 1]",361128390,"(123, 246)"
13,Texts,kNN3,14,0.550952380952381,0.6333333333333333,0.5863157894736842,0.5569444444444445,0.5339891975308642,28,21,23,16,"[1 1 1 0 0 1 0 1 1 1 1 1 1 0 0 1 0 1 1 0 0 0 1 0 0 1 1 1 1 0 1 1 1 1 1 1 0
 1 0 0 1 0 1 0 1 1 0 1 1 1 1 1 0 0 1 0 1 1 0 0 1 1 1 1 1 0 0 1 1 1 0 1 1 0
 0 0 0 1 1 0 1 0 0 0 0 1 0 0]",361128390,"(123, 246)"
14,Texts,kNN3,15,0.5424242424242425,0.6833333333333333,0.6007843137254901,0.5555555555555556,0.5636959876543209,30,19,25,14,"[0 0 0 1 1 0 0 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 1 1 0 0 1 1 1 0 0 0 1 1
 0 1 1 0 0 1 1 0 0 1 1 1 1 1 1 0 0 0 1 0 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 0
 1 1 1 1 1 1 1 1 1 1 0 1 0 0]",361128390,"(123, 246)"
15,Texts,kNN3,1,0.4577200577200577,0.4111111111111111,0.4288888888888889,0.4444444444444444,0.4617283950617284,18,21,23,26,"[1 0 0 0 0 1 0 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 1 1 0 0 0
 1 1 0 1 0 1 0 1 0 0 0 1 0 1 1 1 1 1 0 0 1 0 1 1 1 0 0 1 1 1 0 0 1 0 0 0 1
 1 0 1 0 0 1 1 1 0 1 1 0 0 0]",25678624,"(123, 246)"
16,Texts,kNN3,2,0.48448773448773447,0.5222222222222223,0.4996825396825397,0.4791666666666667,0.3995949074074074,23,19,25,21,"[1 0 1 0 1 1 1 0 1 0 0 0 0 1 0 0 1 1 0 1 1 0 0 1 1 1 0 1 0 0 1 1 0 0 1 0 0
 1 0 0 1 1 0 1 1 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 1 1 0 0 0 1 0 1 1 0 1 0
 0 1 1 1 1 0 0 0 1 0 1 0 0 1]",25678624,"(123, 246)"
17,Texts,kNN3,3,0.49216061716061715,0.5444444444444444,0.5101604278074867,0.4986111111111111,0.4724344135802469,24,20,24,20,"[0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 0 1 1 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 0 1 0
 1 0 0 0 1 1 0 1 1 0 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1
 1 0 1 0 0 0 1 0 0 1 1 1 1 0]",25678624,"(123, 246)"
18,Texts,kNN3,4,0.35034632034632035,0.3888888888888889,0.3636591478696742,0.35138888888888886,0.37961033950617284,17,14,30,27,"[1 0 0 0 0 0 1 1 0 0 1 0 1 1 1 0 0 0 0 0 1 0 1 0 1 0 1 0 1 1 0 0 0 1 1 1 1
 0 1 0 0 0 0 0 1 0 1 0 0 1 1 1 1 0 0 1 1 1 0 1 1 0 1 1 1 0 1 0 0 0 0 1 0 0
 1 1 1 1 1 1 1 1 0 1 1 1 1 1]",25678624,"(123, 246)"
19,Texts,kNN3,5,0.34363636363636363,0.4222222222222222,0.3784962406015038,0.3958333333333333,0.3832368827160494,19,16,28,25,"[1 1 1 1 0 1 1 0 1 1 1 1 0 0 0 0 0 1 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1 1 0
 0 0 1 1 1 0 1 1 1 1 0 1 0 1 1 1 0 0 0 1 1 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0
 1 0 0 0 0 1 1 0 0 1 0 0 0 0]",25678624,"(123, 246)"
20,Texts,kNN3,6,0.36282828282828283,0.3888888888888889,0.37064327485380116,0.35138888888888886,0.3523726851851852,17,14,30,27,"[1 1 1 0 1 1 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 1 1 1 1 1 0 1 0 1 1 1 0 1 0 0 0
 1 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 1 0 0 0 1 1 0 1 1 0 1 0 0 1 1 1 1
 1 1 0 1 1 0 1 0 1 1 1 0 0 1]",25678624,"(123, 246)"
21,Texts,kNN3,7,0.36233766233766235,0.3638888888888889,0.36026315789473684,0.35416666666666663,0.35794753086419756,16,15,29,28,"[1 1 1 0 1 1 0 1 0 0 0 1 1 1 0 0 1 1 1 0 1 1 1 0 0 0 0 0 1 1 0 1 0 0 1 0 1
 1 0 1 1 0 1 0 1 1 0 1 0 1 0 0 0 1 0 0 1 0 1 1 1 1 1 0 1 1 0 1 1 0 0 0 1 0
 0 0 0 1 1 0 0 0 0 0 0 1 1 1]",25678624,"(123, 246)"
22,Texts,kNN3,8,0.35317460317460314,0.4027777777777778,0.36847481021394063,0.3597222222222222,0.33618827160493825,18,14,30,26,"[0 1 1 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1 0 1 0 1 1 0 0 1 0 0 0 1 1 0 1 0 1 0 0
 1 1 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 1 0 0 1 1 1 1 0 0 0 1 1 1 0 1 1 1 0 0 1
 1 1 1 1 1 1 0 1 0 0 1 0 0 0]",25678624,"(123, 246)"
