,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Texts,kNN5,1,0.4421911421911422,0.5599999999999999,0.49086352244246984,0.43777777777777777,0.406679012345679,26,15,32,21,"[0 1 0 1 1 0 0 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0
 1 1 0 1 1 0 0 1 1 0 1 1 1 1 0 0 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 0 1 1 1
 0 1 1 0 1 1 1 1 1 0 1 0 1 0 1 1 1 0 0 1]",361128390,"(134, 246)"
1,Texts,kNN5,2,0.4658119658119658,0.44666666666666666,0.443464458247067,0.45666666666666667,0.4729382716049383,21,22,25,26,"[1 1 1 1 1 1 0 0 0 0 1 1 1 0 0 1 1 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1
 1 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 0 1 0 0 1 0
 1 1 0 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 1]",361128390,"(134, 246)"
2,Texts,kNN5,3,0.4631313131313131,0.49333333333333335,0.4747702589807853,0.4577777777777778,0.4648888888888889,23,20,27,24,"[1 1 1 1 0 0 0 1 0 0 0 1 0 1 1 0 0 1 1 0 0 0 0 0 1 1 1 0 1 1 0 1 0 0 1 1 0
 0 0 0 0 1 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 0 1 0 1 1 1 0 1 1 0 0 1 0 1 1 1 0
 0 0 1 0 1 1 1 1 1 1 1 0 1 1 1 0 0 0 0 1]",361128390,"(134, 246)"
3,Texts,kNN5,4,0.5290909090909091,0.5377777777777778,0.526578947368421,0.5333333333333333,0.5138765432098765,25,25,22,22,"[1 1 0 1 1 1 0 1 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1
 1 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 0 1 0 0 1 0 1 0 1 1
 0 0 1 1 1 1 1 0 1 0 1 1 0 0 1 0 1 1 1 0]",361128390,"(134, 246)"
4,Texts,kNN5,5,0.5072150072150072,0.5955555555555556,0.5458980785296574,0.5122222222222222,0.4881111111111111,28,20,27,19,"[1 1 0 1 1 1 0 1 1 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 0 0 0 1 1 0 0
 0 0 0 1 0 0 1 0 1 1 1 0 1 1 0 0 0 1 0 0 1 0 1 1 1 0 1 1 1 0 1 0 0 1 0 0 1
 1 1 0 1 1 1 1 0 0 0 1 1 1 1 0 0 1 0 0 1]",361128390,"(134, 246)"
5,Texts,kNN5,6,0.5526695526695526,0.5111111111111111,0.5287581699346405,0.5544444444444445,0.49929629629629635,24,28,19,23,"[0 0 0 1 1 0 1 1 1 1 1 0 1 1 1 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1 1 0 1
 0 0 1 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 1 0
 1 0 1 1 0 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0]",361128390,"(134, 246)"
6,Texts,kNN5,7,0.517979797979798,0.5533333333333333,0.5347535505430242,0.5211111111111111,0.5163456790123456,26,23,24,21,"[0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 1 1 0 0 0 1 0 0 0 1 1 1 1 1 0 0
 1 1 1 0 1 0 0 1 0 1 0 0 1 1 0 1 0 1 0 1 1 0 1 1 0 0 0 1 1 1 1 1 0 0 1 1 0
 1 0 1 0 0 0 1 1 0 1 1 1 0 0 0 1 1 1 0 1]",361128390,"(134, 246)"
7,Texts,kNN5,8,0.5650349650349651,0.7177777777777777,0.6315151515151515,0.5777777777777777,0.5702592592592592,34,21,26,13,"[1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 1 0 1 1 0 1 1 0
 1 0 1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 0 0 1 0 0 1 1 1 0 1 1 1 0 0 0 1 1 1 1 0
 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 0 0 1]",361128390,"(134, 246)"
8,Texts,kNN5,9,0.5728618603618604,0.6755555555555556,0.6113117800074321,0.5855555555555556,0.598679012345679,32,23,24,15,"[1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 1 1 0 0 0 1 1 1 1 1 1
 0 1 1 0 0 0 1 1 1 1 0 1 1 0 0 0 1 0 1 1 1 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 1
 0 1 0 1 0 0 1 0 1 0 0 1 1 1 1 1 0 0 1 1]",361128390,"(134, 246)"
9,Texts,kNN5,10,0.5034090909090909,0.6777777777777778,0.5711093117408907,0.5066666666666666,0.5473580246913581,32,16,31,15,"[1 0 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 0 1 1 0 0 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1
 1 1 0 1 1 1 0 0 1 0 1 1 1 1 1 0 0 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
 1 1 1 0 0 1 1 0 0 1 1 1 1 0 1 0 1 1 0 1]",361128390,"(134, 246)"
10,Texts,kNN5,11,0.4653968253968254,0.5622222222222222,0.5045272601794342,0.47333333333333333,0.44287654320987657,26,18,29,21,"[1 1 0 0 0 1 0 1 0 1 1 1 0 1 0 1 0 1 0 0 0 1 0 1 0 0 1 1 0 0 1 1 1 0 0 0 1
 1 1 1 0 0 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 0 0 1 0 0 1
 0 0 1 1 1 1 0 1 0 1 1 0 1 0 1 1 0 1 1 1]",361128390,"(134, 246)"
11,Texts,kNN5,12,0.5158441558441559,0.5733333333333334,0.5375438596491229,0.5222222222222223,0.5241728395061729,27,22,25,20,"[1 1 0 0 0 1 0 1 1 0 1 0 1 1 1 0 0 1 1 0 1 0 0 1 1 0 1 1 1 1 1 1 0 1 0 1 0
 0 1 1 1 0 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 0 0 1 0 0 0 0 0
 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 1 0 1 0 1]",361128390,"(134, 246)"
