,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Tweets,LR,1,0.49047619047619045,0.39999999999999997,0.42466422466422465,0.5428571428571428,0.5653061224489796,14,24,11,21,"[0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 1 1 0 1 1 1 0 0 0 0 1 0
 1 1 1 1 1 0 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0]",361128390,"(97, 247)"
1,Tweets,LR,2,0.48333333333333334,0.34285714285714286,0.39002331002331003,0.4857142857142857,0.4448979591836735,12,22,13,23,"[0 1 0 1 1 1 1 0 0 0 1 1 1 1 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 1 1 0 1 0 0 0 0
 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0]",361128390,"(97, 247)"
2,Tweets,LR,3,0.57,0.5142857142857142,0.5257123268887974,0.5428571428571428,0.5795918367346938,18,20,15,17,"[0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 1 1 1 0 1 0 0 1 1 0 1 1 1 0 0 0 1 1 1
 1 0 1 1 0 1 0 1 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0 1 0 0]",361128390,"(97, 247)"
3,Tweets,LR,4,0.633968253968254,0.5428571428571428,0.5722860472860473,0.6,0.6346938775510205,19,23,12,16,"[1 0 1 1 0 0 1 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 1 0 1 0 0 0 0 1 1 0 1 0 1 1
 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 0 1]",361128390,"(97, 247)"
4,Tweets,LR,5,0.6044444444444445,0.6,0.5892533936651584,0.6,0.5979591836734695,21,21,14,14,"[1 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 1 0 1 0 1 0 0 1 0
 1 1 0 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 0 0 1 1 1 0]",361128390,"(97, 247)"
5,Tweets,LR,6,0.445,0.34285714285714286,0.37008547008547005,0.45714285714285713,0.49387755102040815,12,20,15,23,"[0 1 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1 0 0 0 1 0
 0 1 1 0 1 0 0 1 1 0 1 0 0 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 1 1 1 1]",361128390,"(97, 247)"
6,Tweets,LR,7,0.5728571428571428,0.45714285714285713,0.5006193806193806,0.5285714285714286,0.5714285714285714,16,21,14,19,"[1 1 0 1 0 0 0 1 0 0 1 0 0 1 1 1 1 0 1 1 1 1 0 1 1 0 1 0 0 0 0 1 1 1 0 0 0
 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1]",361128390,"(97, 247)"
7,Tweets,LR,8,0.45714285714285713,0.45714285714285713,0.4552197802197802,0.5,0.5020408163265306,16,19,16,19,"[0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 1 0 1 0 1 1 0 0 1 1 1 0 0 0 1 1 0 0 0 1 0
 1 0 0 1 0 0 1 1 0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 1 0 0 1 0 0 0 0 1 0]",361128390,"(97, 247)"
8,Tweets,LR,9,0.5022222222222222,0.45714285714285713,0.45662141779788834,0.4857142857142857,0.5102040816326531,16,18,17,19,"[0 0 1 1 1 1 0 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0
 0 0 0 1 0 0 1 0 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 0]",361128390,"(97, 247)"
9,Tweets,LR,10,0.4583333333333333,0.39999999999999997,0.41333333333333333,0.4857142857142857,0.5,14,20,15,21,"[1 0 0 0 1 1 0 0 1 1 1 0 1 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 1 1 1 1 1 0 1 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 1 0 1 1 1 0 0 1 1]",361128390,"(97, 247)"
