,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Tweets,LR,1,0.6033333333333333,0.4095238095238095,0.4785314685314685,0.5833333333333334,0.60578231292517,13,24,8,19,"[0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1
 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 1 0 1 0 0 0 1 1]",361128390,"(89, 247)"
1,Tweets,LR,2,0.6761904761904762,0.44285714285714284,0.5077700077700078,0.6,0.6333333333333334,14,24,8,18,"[0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0
 1 0 0 0 1 1 0 1 1 1 0 1 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0]",361128390,"(89, 247)"
2,Tweets,LR,3,0.68,0.5285714285714286,0.5826340326340326,0.6547619047619048,0.710204081632653,17,25,7,15,"[0 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 1 0 1 1 1 0 0 1 0 1 0
 0 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1]",361128390,"(89, 247)"
3,Tweets,LR,4,0.6761904761904762,0.5380952380952381,0.5799067599067599,0.6238095238095238,0.6657596371882086,17,23,9,15,"[0 0 0 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1 1 1 1 0 0 0 0 0 1 0 0 1
 1 1 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 0 1 0 1 0 0]",361128390,"(89, 247)"
4,Tweets,LR,5,0.7428571428571429,0.580952380952381,0.6004623154623154,0.6452380952380953,0.7037981859410432,18,23,9,14,"[0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 1 1
 1 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 1 1]",361128390,"(89, 247)"
5,Tweets,LR,6,0.719047619047619,0.5238095238095238,0.5811965811965811,0.6333333333333333,0.6467120181405895,17,24,8,15,"[0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 0 1 0 1 1 1 0 0 0 0 1 0 0 0 1 1
 1 0 0 0 1 0 1 1 0 1 1 1 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0]",361128390,"(89, 247)"
6,Tweets,LR,7,0.6795238095238095,0.5238095238095238,0.5839138639138639,0.6380952380952382,0.7053854875283446,17,24,8,15,"[0 0 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1 1 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 0 1 0
 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1]",361128390,"(89, 247)"
7,Tweets,LR,8,0.6395238095238095,0.49523809523809526,0.5413419913419913,0.6214285714285714,0.6816326530612246,16,24,8,16,"[1 0 0 0 1 1 1 0 0 1 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 1
 1 1 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0]",361128390,"(89, 247)"
8,Tweets,LR,9,0.6952380952380952,0.6047619047619047,0.6216361416361416,0.6785714285714286,0.7004535147392291,19,24,8,13,"[0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 0 1 0 1 1 1
 0 1 0 1 1 1 0 0 1 0 0 1 0 0 0 0 1 1 1 1 1 0 0 0 1 1 0]",361128390,"(89, 247)"
9,Tweets,LR,10,0.68,0.3761904761904762,0.4707070707070707,0.5738095238095238,0.6858276643990929,12,25,7,20,"[1 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1
 0 0 1 0 0 1 0 0 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0 1 0 0 0]",361128390,"(89, 247)"
