,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Tweets,LR,1,0.5266666666666666,0.2857142857142857,0.35707070707070704,0.5333333333333333,0.5573696145124717,9,25,7,23,"[1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0
 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0 1]",361128390,"(89, 247)"
1,Tweets,LR,2,0.7142857142857143,0.27619047619047615,0.3514285714285714,0.5452380952380952,0.4473922902494331,9,26,6,23,"[0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 1
 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1]",361128390,"(89, 247)"
2,Tweets,LR,3,0.5728571428571428,0.36666666666666664,0.42952380952380953,0.5619047619047619,0.48526077097505665,12,24,8,20,"[0 1 0 0 1 0 1 0 1 1 0 0 0 1 0 0 0 1 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1
 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0]",361128390,"(89, 247)"
3,Tweets,LR,4,0.5166666666666666,0.3761904761904762,0.4325097125097125,0.5190476190476191,0.4992063492063492,12,21,11,20,"[1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 0 0 1 1 1 1 0 0 0 1
 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0]",361128390,"(89, 247)"
4,Tweets,LR,5,0.42857142857142855,0.3142857142857143,0.33736263736263733,0.5023809523809524,0.4098639455782313,10,22,10,22,"[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0
 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1 1 0 0 1 0 1]",361128390,"(89, 247)"
5,Tweets,LR,6,0.36,0.21904761904761905,0.26515151515151514,0.45714285714285713,0.39807256235827665,7,22,10,25,"[0 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0]",361128390,"(89, 247)"
6,Tweets,LR,7,0.4722222222222222,0.2714285714285714,0.32,0.4666666666666667,0.39659863945578233,9,21,11,23,"[0 0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0]",361128390,"(89, 247)"
7,Tweets,LR,8,0.38095238095238093,0.32857142857142857,0.34307692307692306,0.4880952380952381,0.42913832199546487,10,21,11,22,"[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0
 0 1 1 1 0 0 1 1 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 1 1]",361128390,"(89, 247)"
8,Tweets,LR,9,0.5083333333333333,0.2523809523809524,0.29439560439560436,0.44047619047619047,0.4117913832199546,8,20,12,24,"[0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 1 1 1 1 0 0
 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0]",361128390,"(89, 247)"
9,Tweets,LR,10,0.4533333333333333,0.28095238095238095,0.322979797979798,0.45714285714285713,0.4075963718820862,9,20,12,23,"[0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 1 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 1 0 0 0 0 1 0 1 0 1 0]",361128390,"(89, 247)"
