,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Tweets,NB,1,0.6833333333333333,0.2523809523809524,0.35,0.5619047619047619,0.404421768707483,8,28,4,24,"[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0
 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1]",361128390,"(89, 247)"
1,Tweets,NB,2,0.36333333333333334,0.19047619047619047,0.2424242424242424,0.4714285714285714,0.3899092970521542,6,24,8,26,"[0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0]",361128390,"(89, 247)"
2,Tweets,NB,3,0.38,0.29047619047619044,0.3193939393939394,0.4642857142857143,0.38287981859410425,9,21,11,23,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 1 0 0 1 0 1
 0 0 0 1 1 0 0 1 0 0 1 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 0]",361128390,"(89, 247)"
3,Tweets,NB,4,0.525,0.24285714285714285,0.3088888888888889,0.4666666666666667,0.3921768707482993,8,22,10,24,"[1 0 0 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0
 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0]",361128390,"(89, 247)"
4,Tweets,NB,5,0.3333333333333333,0.2095238095238095,0.24829059829059827,0.45476190476190476,0.322108843537415,7,22,10,25,"[1 0 0 1 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 1
 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",361128390,"(89, 247)"
5,Tweets,NB,6,0.5277777777777778,0.5380952380952381,0.5117099567099568,0.5023809523809524,0.5111111111111111,17,15,17,15,"[0 1 0 1 1 1 1 1 1 1 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 1 0 1 0 1 0 1 1 1
 1 0 0 1 1 0 1 1 0 1 1 1 0 1 1 1 0 0 1 0 0 0 1 0 0 1 0]",361128390,"(89, 247)"
6,Tweets,NB,7,0.40555555555555556,0.4476190476190476,0.4184881784881785,0.4238095238095238,0.42993197278911566,14,13,19,18,"[0 0 0 1 1 0 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 1
 1 1 0 0 1 0 1 1 1 0 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 0]",361128390,"(89, 247)"
7,Tweets,NB,8,0.5111111111111111,0.6619047619047619,0.5604066985645932,0.5190476190476191,0.518140589569161,21,12,20,11,"[1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 0 0 0 1 0 1 1 0 0 1 0 1 1 0 1 1 1 1 0 1 1 0
 0 1 1 0 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 0 1 0 0 0 1 0]",361128390,"(89, 247)"
8,Tweets,NB,9,0.45004329004329,0.5476190476190476,0.4775867269984917,0.45476190476190476,0.5259637188208617,17,12,20,15,"[0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 1 1 1 1 0 1 0 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 0 1 1 0 0 1 1 1 1 0 0 1]",361128390,"(89, 247)"
9,Tweets,NB,10,0.4369408369408369,0.5380952380952381,0.47478991596638653,0.4261904761904762,0.46428571428571436,17,10,22,15,"[1 0 1 0 1 1 1 1 0 1 0 0 1 1 0 0 1 0 1 1 0 0 0 0 1 1 1 0 1 0 1 0 0 0 1 1 1
 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 0 0 0 1 0]",361128390,"(89, 247)"
10,Tweets,NB,11,0.5516666666666666,0.5904761904761905,0.5664069264069264,0.5452380952380953,0.5107709750566893,19,16,16,13,"[1 0 0 0 1 1 1 1 1 1 0 1 0 0 1 0 1 0 1 1 1 1 0 0 1 1 1 0 0 1 1 0 1 0 1 0 0
 0 0 0 0 1 0 1 1 0 1 1 0 1 1 0 0 0 1 1 1 1 1 0 0 0 1 1]",361128390,"(89, 247)"
11,Tweets,NB,12,0.36666666666666664,0.34285714285714286,0.343030303030303,0.3880952380952381,0.4333333333333333,11,14,18,21,"[0 0 1 0 0 1 1 1 1 0 0 1 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1
 1 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 1 1 1 1 1 1 1 0]",361128390,"(89, 247)"
12,Tweets,NB,13,0.40476190476190477,0.4380952380952381,0.41904761904761906,0.45476190476190476,0.49217687074829936,14,15,17,18,"[0 1 1 1 1 0 0 1 0 1 0 1 0 1 1 0 0 1 0 0 0 1 0 1 1 1 0 0 0 1 1 0 1 0 0 1 0
 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 1 1 0 1 1 1 1 0 1]",361128390,"(89, 247)"
13,Tweets,NB,14,0.3968253968253968,0.48095238095238096,0.433974358974359,0.4738095238095238,0.5145124716553288,16,15,17,16,"[1 1 1 1 1 1 0 1 0 0 1 0 0 1 0 0 1 1 0 0 1 1 1 0 1 0 1 1 1 1 1 1 0 1 0 1 0
 1 0 0 0 0 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1]",361128390,"(89, 247)"
14,Tweets,NB,15,0.5888888888888889,0.6619047619047619,0.6062337662337662,0.5738095238095238,0.5241496598639456,21,16,16,11,"[0 1 1 0 1 0 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 1 1 1 0 0
 1 1 0 1 1 1 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1]",361128390,"(89, 247)"
15,Tweets,NB,1,0.7333333333333333,0.2571428571428571,0.38,0.5857142857142856,0.4924036281179138,8,29,3,24,"[0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0]",25678624,"(89, 247)"
16,Tweets,NB,2,0.7666666666666666,0.2523809523809524,0.36603174603174604,0.5642857142857143,0.5111111111111111,8,28,4,24,"[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0]",25678624,"(89, 247)"
17,Tweets,NB,3,0.6333333333333333,0.2523809523809524,0.346031746031746,0.5333333333333333,0.526984126984127,8,26,6,24,"[0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1
 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0]",25678624,"(89, 247)"
