,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Tweets,NB,1,0.715,0.26190476190476186,0.3404761904761905,0.5023809523809524,0.48253968253968255,9,25,9,25,"[0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0
 0 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0]",361128390,"(95, 247)"
1,Tweets,NB,2,0.4583333333333333,0.2523809523809524,0.27285714285714285,0.5333333333333333,0.4531746031746032,8,28,6,26,"[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1 0 1 1 0 0 1 0 0 1 1 0 1]",361128390,"(95, 247)"
2,Tweets,NB,3,0.6033333333333333,0.3857142857142857,0.4632167832167832,0.5595238095238095,0.490702947845805,13,25,9,21,"[0 0 0 0 1 0 0 0 1 0 1 0 1 1 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 0 1
 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0]",361128390,"(95, 247)"
3,Tweets,NB,4,0.6866666666666666,0.38095238095238093,0.45427350427350427,0.5738095238095238,0.4921768707482993,13,26,8,21,"[1 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0
 1 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0]",361128390,"(95, 247)"
4,Tweets,NB,5,0.5533333333333333,0.4095238095238095,0.46,0.5285714285714286,0.5790249433106576,14,22,12,20,"[0 0 1 1 1 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 1 1 1 0 0 1 1 1 0
 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0]",361128390,"(95, 247)"
5,Tweets,NB,6,0.5277777777777778,0.44285714285714284,0.4696153846153846,0.5333333333333333,0.5744897959183674,15,21,13,19,"[0 0 0 1 1 1 0 1 0 0 0 1 1 0 0 0 0 1 1 1 0 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 1
 0 0 1 0 0 0 1 0 0 1 0 1 0 1 1 0 1 1 1 0 1 0 1 0 0 0 0 0 0 1 1]",361128390,"(95, 247)"
6,Tweets,NB,7,0.5850793650793651,0.7047619047619047,0.6314242620124972,0.5833333333333334,0.6253968253968254,24,16,18,10,"[1 1 1 1 1 1 0 0 1 1 0 0 0 0 1 0 0 1 1 0 1 0 1 1 0 1 0 1 1 1 1 1 1 1 0 1 0
 0 1 1 0 0 1 1 0 1 0 0 1 0 1 1 0 0 0 1 1 1 1 1 1 1 0 1 0 1 1 1]",361128390,"(95, 247)"
7,Tweets,NB,8,0.5537662337662338,0.6142857142857143,0.5730139141903847,0.5452380952380953,0.559297052154195,21,16,18,13,"[1 1 1 1 0 1 0 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 0 0 1 1 0 0 0 1 1 0 0
 1 1 1 0 1 0 0 1 1 1 1 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 1 1 1 1]",361128390,"(95, 247)"
8,Tweets,NB,9,0.4634920634920635,0.44285714285714284,0.4419230769230769,0.48333333333333334,0.5011337868480725,15,18,16,19,"[1 1 0 1 0 1 0 0 1 1 1 1 0 0 1 1 0 0 1 0 0 0 1 0 0 1 1 1 0 0 1 0 1 0 0 0 0
 1 1 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 1 1 0 0 1 1 0 0]",361128390,"(95, 247)"
9,Tweets,NB,10,0.5476190476190476,0.4952380952380952,0.49290919606709077,0.5285714285714286,0.5475056689342404,17,19,15,17,"[1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 1 0 1 0 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0 1 0
 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1]",361128390,"(95, 247)"
