,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Tweets,RF,1,0.4777777777777778,0.3619047619047619,0.39175213675213677,0.4976190476190476,0.5632086167800453,12,20,12,20,"[0 1 0 0 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0
 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0]",361128390,"(89, 247)"
1,Tweets,RF,2,0.5233766233766234,0.45238095238095233,0.4576190476190476,0.5285714285714286,0.45651927437641726,15,19,13,17,"[1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 0 0 1 0 0 1 1 1 0 1 0 0 0 1 0 0 1 1 0 1 0 1
 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0]",361128390,"(89, 247)"
2,Tweets,RF,3,0.6035714285714285,0.5619047619047619,0.5685780885780886,0.5904761904761905,0.6020975056689343,18,20,12,14,"[1 1 1 1 0 0 1 0 1 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 1 0
 0 1 0 1 1 0 1 1 1 0 1 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 1]",361128390,"(89, 247)"
3,Tweets,RF,4,0.6466666666666666,0.4714285714285714,0.49450549450549447,0.5642857142857143,0.6037981859410431,15,21,11,17,"[1 0 1 0 0 1 1 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1
 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 1 0 1 1 0 1 1 1 0 1]",361128390,"(89, 247)"
4,Tweets,RF,5,0.5876190476190476,0.5333333333333333,0.5389058000822706,0.5642857142857143,0.47772108843537414,17,19,13,15,"[0 0 0 0 0 1 0 0 1 0 1 1 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 1 0 0 0 1 1 1 0 0 0
 1 0 1 1 1 1 0 1 0 0 1 0 1 0 0 0 1 1 0 1 0 1 0 1 0 1 0]",361128390,"(89, 247)"
5,Tweets,RF,6,0.6183333333333333,0.5809523809523809,0.5815805109922757,0.6071428571428572,0.6167800453514739,19,20,12,13,"[1 1 1 1 0 0 1 1 1 0 0 1 1 0 1 1 1 1 1 0 0 1 1 1 0 1 0 1 0 0 0 0 1 1 1 0 1
 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0]",361128390,"(89, 247)"
6,Tweets,RF,7,0.63,0.41428571428571426,0.47555555555555556,0.5476190476190477,0.4976190476190476,13,22,10,19,"[0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0
 0 0 1 1 0 1 1 1 1 0 0 1 0 0 0 1 0 0 1 0 1 1 0 1 0 0 0]",361128390,"(89, 247)"
7,Tweets,RF,8,0.571031746031746,0.5047619047619047,0.51,0.5428571428571428,0.558219954648526,16,18,14,16,"[1 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 0 1 0 0 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 0
 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1]",361128390,"(89, 247)"
8,Tweets,RF,9,0.5476190476190476,0.4380952380952381,0.4701875901875902,0.530952380952381,0.5100340136054422,14,20,12,18,"[0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1 0 1 0 0 0 0 0
 0 0 1 0 0 0 0 0 0 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 0 1 0]",361128390,"(89, 247)"
9,Tweets,RF,10,0.5809523809523809,0.4095238095238095,0.46588966588966585,0.55,0.5640589569160998,13,22,10,19,"[0 0 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0
 1 0 1 0 1 1 0 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0]",361128390,"(89, 247)"
10,Tweets,RF,11,0.6726190476190476,0.5571428571428572,0.5920634920634921,0.6428571428571429,0.6371315192743764,18,23,9,14,"[0 0 1 1 1 0 0 0 0 1 1 1 0 1 1 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0
 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 1]",361128390,"(89, 247)"
11,Tweets,RF,12,0.75,0.5,0.5910955710955711,0.6404761904761904,0.6882086167800454,16,25,7,16,"[1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 0 1 1 1 1 1 0 0 1 0
 1 0 1 0 1 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0]",361128390,"(89, 247)"
12,Tweets,RF,13,0.6404761904761904,0.6,0.609090909090909,0.6238095238095238,0.6173469387755102,19,21,11,13,"[0 0 1 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 1 1 0
 0 1 1 0 0 1 1 0 1 0 0 0 1 1 1 1 1 1 0 0 1 0 0 1 1 1 1]",361128390,"(89, 247)"
13,Tweets,RF,14,0.4776190476190476,0.4333333333333333,0.4416161616161616,0.4523809523809524,0.4962585034013606,14,15,17,18,"[1 1 0 1 1 0 0 1 0 1 0 1 0 0 1 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 0 0 0 1 0 1 1
 1 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 1 0 1 1 1 1]",361128390,"(89, 247)"
14,Tweets,RF,15,0.58,0.44285714285714284,0.4644733044733045,0.5166666666666667,0.5777777777777778,14,19,13,18,"[0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 1 1 1 0 1 1 0 0 1 1 1 0 1 0 1 0 1 0 1
 1 1 0 1 0 0 0 1 1 1 0 1 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0]",361128390,"(89, 247)"
15,Tweets,RF,16,0.6,0.5333333333333333,0.5599067599067599,0.5904761904761905,0.6321995464852608,17,21,11,15,"[0 0 1 1 1 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 1 0 0 0 1 0
 1 0 1 1 1 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 1 1 1]",361128390,"(89, 247)"
16,Tweets,RF,17,0.6476190476190476,0.41428571428571426,0.45030525030525026,0.5666666666666667,0.6363945578231293,13,23,9,19,"[0 1 1 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 1
 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0 1]",361128390,"(89, 247)"
17,Tweets,RF,18,0.6566666666666666,0.5952380952380952,0.6096613190730837,0.6452380952380953,0.7140022675736961,19,22,10,13,"[0 0 1 0 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 1 0 0 0 1 0
 0 1 1 0 0 0 1 1 1 0 1 0 0 0 0 0 1 1 0 0 1 0 1 1 0 1 0]",361128390,"(89, 247)"
18,Tweets,RF,19,0.6066666666666667,0.44285714285714284,0.5024242424242424,0.5785714285714285,0.6545918367346939,14,23,9,18,"[0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 0 1 1 0 1 0 1 1
 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1]",361128390,"(89, 247)"
19,Tweets,RF,20,0.6376623376623376,0.519047619047619,0.5206959706959706,0.5785714285714285,0.6348639455782313,17,20,12,15,"[0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 1 1 1 0 1 0 1 1 1 1 0 1 1 1 0 1 0 1 0 1 1 0
 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0]",361128390,"(89, 247)"
20,Tweets,RF,21,0.605,0.5047619047619047,0.5323232323232323,0.5952380952380952,0.5924603174603175,16,22,10,16,"[0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 1 0 1 1 0 0 1 1 0 0 1 1 1 1 0
 0 0 1 0 1 0 1 0 1 0 0 1 0 0 1 0 1 0 0 0 1 0 1 1 1 1 0]",361128390,"(89, 247)"
21,Tweets,RF,22,0.4809523809523809,0.40476190476190477,0.43145743145743143,0.4976190476190476,0.5350340136054421,13,19,13,19,"[1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0
 1 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 0 0 0 1 1 1 0 1 1 0]",361128390,"(89, 247)"
22,Tweets,RF,23,0.4380952380952381,0.35238095238095235,0.3702197802197802,0.4595238095238095,0.4801587301587302,11,18,14,21,"[0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 1 1 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0
 0 0 1 0 1 1 0 0 1 0 1 1 1 0 1 0 0 1 1 0 0 1 1 0 0 1 0]",361128390,"(89, 247)"
23,Tweets,RF,24,0.5555555555555556,0.45238095238095233,0.4688888888888889,0.5452380952380953,0.4779478458049886,15,20,12,17,"[1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 1 0 1 1 0
 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0]",361128390,"(89, 247)"
24,Tweets,RF,25,0.6026190476190476,0.4952380952380952,0.5271173271173271,0.5738095238095239,0.6685374149659864,16,21,11,16,"[1 1 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 1 0 0
 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 1 1 1]",361128390,"(89, 247)"
25,Tweets,RF,1,0.6533333333333333,0.40476190476190477,0.4548229548229548,0.55,0.5378117913832199,13,22,10,19,"[0 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 1 0 1 0 1 1 0 0 1 1 0 0 0 0 1 0
 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1]",25678624,"(89, 247)"
