,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Tweets,RF,1,0.4533333333333333,0.5619047619047619,0.48526315789473684,0.4523809523809524,0.4540816326530613,18,11,21,14,"[0 1 0 1 1 0 0 0 0 1 0 1 0 0 1 0 1 1 1 1 1 1 1 1 1 0 0 0 1 0 1 1 0 0 1 1 1
 0 1 1 1 1 0 1 0 0 0 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1]",361128390,"(89, 247)"
1,Tweets,RF,2,0.3840909090909091,0.5761904761904761,0.4588235294117647,0.4119047619047619,0.4111111111111111,18,8,24,14,"[1 1 1 1 1 0 1 0 0 1 0 1 1 1 1 1 0 0 0 0 0 1 0 1 1 0 1 0 0 1 1 1 1 1 1 1 1
 0 1 0 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 0 0 0 0 1 1 1]",361128390,"(89, 247)"
2,Tweets,RF,3,0.5792857142857143,0.5952380952380952,0.5774891774891775,0.5738095238095238,0.48922902494331066,19,18,14,13,"[0 0 0 1 0 1 1 1 0 0 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1
 1 0 0 0 0 1 1 0 1 0 1 1 0 1 1 1 0 1 1 1 1 0 1 0 1 1 1]",361128390,"(89, 247)"
3,Tweets,RF,4,0.6773809523809523,0.7238095238095238,0.6974358974358974,0.6904761904761905,0.6780045351473923,23,21,11,9,"[1 0 1 0 1 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 1 0 1 0 0 1 1 0 1 0 0 1 1 1 0 1 0
 0 0 1 1 1 1 1 0 1 0 0 1 1 1 1 0 1 1 1 0 1 0 1 1 0 0 1]",361128390,"(89, 247)"
4,Tweets,RF,5,0.669047619047619,0.4714285714285714,0.5313553113553113,0.5857142857142856,0.6185374149659864,15,22,10,17,"[1 0 1 0 0 0 1 1 0 1 0 0 1 1 0 1 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 0 0 1 0 1 1
 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 1 1]",361128390,"(89, 247)"
5,Tweets,RF,6,0.5766666666666667,0.30952380952380953,0.3929292929292929,0.5142857142857142,0.5523809523809524,10,23,9,22,"[1 1 1 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0
 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0]",361128390,"(89, 247)"
6,Tweets,RF,7,0.655952380952381,0.6904761904761905,0.655989010989011,0.638095238095238,0.6252834467120182,22,19,13,10,"[1 1 0 0 1 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 1 1 0 0 1 1 1 1 1
 1 0 1 0 1 1 0 1 0 1 1 1 1 1 0 1 1 1 0 0 0 1 0 1 0 1 0]",361128390,"(89, 247)"
7,Tweets,RF,8,0.5518614718614718,0.45714285714285713,0.4759018759018759,0.5166666666666667,0.5816326530612246,15,18,14,17,"[1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0
 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 1]",361128390,"(89, 247)"
8,Tweets,RF,9,0.53,0.42857142857142855,0.4494652406417112,0.5119047619047619,0.4598072562358277,14,19,13,18,"[1 0 1 1 1 1 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 1 0 1 0 1
 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1 1]",361128390,"(89, 247)"
9,Tweets,RF,10,0.446031746031746,0.38095238095238093,0.3875990675990676,0.41428571428571426,0.47431972789115645,12,15,17,20,"[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 0 1 0
 1 0 1 1 0 1 1 1 1 0 1 0 0 0 0 1 0 1 1 0 1 1 1 0 1 1 1]",361128390,"(89, 247)"
10,Tweets,RF,1,0.6746031746031746,0.4095238095238095,0.4384126984126984,0.5142857142857143,0.5332766439909297,13,20,12,19,"[1 1 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 1 1 1 1 1 0
 0 1 0 0 0 1 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1]",25678624,"(89, 247)"
11,Tweets,RF,2,0.5116666666666667,0.45714285714285713,0.47353535353535353,0.5285714285714286,0.4407596371882086,15,19,13,17,"[0 0 1 1 1 1 0 1 0 0 1 1 1 0 0 1 1 0 1 0 1 1 1 0 1 0 1 1 1 0 0 0 1 0 1 1 0
 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0]",25678624,"(89, 247)"
12,Tweets,RF,3,0.5216666666666667,0.5285714285714286,0.5153463203463203,0.5023809523809524,0.4859410430839003,17,15,17,15,"[1 0 1 0 0 1 1 1 1 1 1 0 0 1 0 1 0 0 1 0 1 0 1 1 1 1 1 1 0 1 0 1 0 0 1 0 0
 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 1 0 1 1 1 1 0 0 1 1 0 1]",25678624,"(89, 247)"
13,Tweets,RF,4,0.6488095238095238,0.5571428571428572,0.5777777777777777,0.6238095238095238,0.6733560090702948,18,22,10,14,"[0 1 0 1 1 1 0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 1 1 1 0 1 0 0 0 1 1 0 0 1 1 1 1
 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1]",25678624,"(89, 247)"
14,Tweets,RF,5,0.5035714285714286,0.5047619047619047,0.4958508158508158,0.5333333333333333,0.6491496598639456,16,18,14,16,"[0 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 1 1 0 1 1 0 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0
 0 1 0 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 0]",25678624,"(89, 247)"
15,Tweets,RF,6,0.5837662337662337,0.7285714285714285,0.6407239819004524,0.5952380952380952,0.5996598639455782,23,15,17,9,"[1 1 0 0 0 0 0 1 1 1 0 0 1 1 1 0 1 0 1 1 0 1 0 1 0 0 0 1 0 1 1 1 1 1 1 1 1
 1 1 1 0 1 0 1 1 1 1 0 0 1 1 1 1 0 0 0 1 0 1 1 1 0 1 1]",25678624,"(89, 247)"
16,Tweets,RF,7,0.55,0.44761904761904764,0.4617521367521368,0.5333333333333333,0.5276077097505669,14,20,12,18,"[0 1 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1
 0 1 1 0 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 1 0 1 0]",25678624,"(89, 247)"
17,Tweets,RF,8,0.49238095238095236,0.5238095238095238,0.49687856003645475,0.4857142857142857,0.5919501133786849,17,14,18,15,"[0 1 0 1 1 0 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 0 1 0 0 0 0
 0 1 1 1 0 0 1 1 0 1 1 0 0 1 1 1 0 0 1 0 0 0 0 1 1 0 0]",25678624,"(89, 247)"
18,Tweets,RF,9,0.5115079365079365,0.6238095238095238,0.5597716009480715,0.5023809523809524,0.5715419501133786,20,12,20,12,"[1 1 0 1 1 0 0 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 0 1 0 0 0
 1 1 1 1 1 0 1 1 1 1 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 1 1]",25678624,"(89, 247)"
19,Tweets,RF,10,0.6103174603174603,0.5619047619047619,0.5708225108225108,0.5880952380952381,0.6455215419501134,18,20,12,14,"[0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 1 0 0 1 1 0 0 1 0
 0 1 0 1 0 0 0 1 0 0 0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1]",25678624,"(89, 247)"
20,Tweets,RF,1,0.35333333333333333,0.319047619047619,0.33426573426573425,0.37857142857142856,0.3913832199546485,10,14,18,22,"[0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 1 1 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0 1 1 0 1 0
 1 0 0 0 1 1 0 0 1 1 0 1 1 0 0 0 1 0 0 0 1 0 1 1 1 0 1]",286227372,"(89, 247)"
21,Tweets,RF,2,0.5105916305916306,0.6904761904761905,0.5818070818070818,0.5,0.5370181405895692,22,10,22,10,"[0 1 0 0 0 1 0 1 0 0 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1
 1 1 0 0 1 1 1 0 1 1 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 1]",286227372,"(89, 247)"
22,Tweets,RF,3,0.40499999999999997,0.44285714285714284,0.41785714285714287,0.4095238095238095,0.41122448979591836,14,12,20,18,"[1 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 1 1 0 1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1
 0 1 1 0 1 0 1 1 1 1 0 1 0 1 0 1 1 0 0 0 1 1 1 1 1 1 0]",286227372,"(89, 247)"
23,Tweets,RF,4,0.48337662337662335,0.4952380952380952,0.47459207459207453,0.4976190476190476,0.5204081632653061,16,16,16,16,"[1 1 1 0 1 1 1 1 1 0 1 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 1
 1 1 1 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0]",286227372,"(89, 247)"
24,Tweets,RF,5,0.39555555555555555,0.30952380952380953,0.3319191919191919,0.40476190476190477,0.40510204081632656,10,16,16,22,"[0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 1 1 0 0 1 1 1 0 0
 0 0 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 1 1 0 0 0 1 0 0 1]",286227372,"(89, 247)"
25,Tweets,RF,6,0.559047619047619,0.5571428571428572,0.5513986013986014,0.5571428571428572,0.5899659863945579,18,18,14,14,"[1 1 1 0 0 1 1 0 0 0 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 0 0 1 1 0 1 1 0 0 0 1 1
 1 1 1 0 1 0 0 0 0 0 0 1 0 1 1 1 1 0 1 1 0 1 0 1 0 1 0]",286227372,"(89, 247)"
26,Tweets,RF,7,0.5247619047619048,0.4714285714285714,0.48486624486624486,0.5071428571428571,0.392687074829932,15,17,15,17,"[1 0 1 0 1 1 1 1 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 1 1 0 1 0 1 0 1 0 1 0 0 0
 1 0 0 1 1 1 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 1 1 0 1]",286227372,"(89, 247)"
27,Tweets,RF,8,0.5878571428571429,0.5380952380952381,0.539010989010989,0.5976190476190476,0.5659863945578232,17,21,11,15,"[1 0 1 0 0 0 1 0 1 1 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 1
 0 1 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0]",286227372,"(89, 247)"
28,Tweets,RF,9,0.4407142857142857,0.40476190476190477,0.41844155844155845,0.44047619047619047,0.4936507936507936,13,15,17,19,"[1 1 1 0 0 1 0 0 1 0 0 0 0 0 1 1 1 1 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0
 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 1 1 0 1 0 0 0 1 1 1 0]",286227372,"(89, 247)"
29,Tweets,RF,10,0.47714285714285715,0.47619047619047616,0.4739260739260739,0.47380952380952385,0.4606575963718821,15,15,17,17,"[1 1 0 0 0 1 1 1 0 1 0 1 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0
 1 0 1 0 1 1 0 0 1 1 0 1 0 0 0 1 1 1 1 1 0 1 1 0 0 1 1]",286227372,"(89, 247)"
30,Tweets,RF,1,0.5424242424242424,0.519047619047619,0.5182284382284381,0.5428571428571429,0.5397392290249433,17,18,14,15,"[1 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0
 1 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 0 1 1 0 1 0]",275413183,"(89, 247)"
31,Tweets,RF,2,0.5363059163059163,0.5952380952380952,0.5457239819004525,0.5285714285714286,0.6117913832199546,19,15,17,13,"[1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 1 0 1 1 0 1 0 1 0 1 1 1 1 1 0 0 1 1 0
 0 1 0 0 1 1 0 1 0 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1]",275413183,"(89, 247)"
32,Tweets,RF,3,0.6172222222222222,0.6047619047619047,0.5919480519480519,0.5928571428571429,0.5665532879818594,19,19,13,13,"[1 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 1 0
 0 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 0 1 0 1 1 1 0 1]",275413183,"(89, 247)"
33,Tweets,RF,4,0.5057142857142857,0.5285714285714286,0.5124522536287242,0.5023809523809524,0.5879818594104308,17,15,17,15,"[1 0 1 1 1 0 0 1 0 1 1 0 0 0 0 1 1 0 1 1 0 1 1 1 1 0 0 1 0 1 1 0 1 1 0 0 0
 0 0 1 1 1 0 0 1 0 0 1 0 1 1 1 1 1 0 0 1 0 1 0 0 1 1 0]",275413183,"(89, 247)"
