,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Tweets,SVC1,1,0.6,0.2619047619047619,0.33999999999999997,0.5666666666666667,0.5236961451247165,8,28,4,24,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0
 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0]",361128390,"(89, 247)"
1,Tweets,SVC1,2,0.7,0.21904761904761905,0.3238095238095238,0.5452380952380953,0.48741496598639455,7,28,4,25,"[0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1]",361128390,"(89, 247)"
2,Tweets,SVC1,3,0.6333333333333333,0.2571428571428571,0.3611111111111111,0.580952380952381,0.5599773242630385,8,29,3,24,"[0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0
 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0]",361128390,"(89, 247)"
3,Tweets,SVC1,4,0.3,0.1238095238095238,0.1688888888888889,0.5,0.4792517006802721,4,28,4,28,"[0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",361128390,"(89, 247)"
4,Tweets,SVC1,5,0.5266666666666666,0.2095238095238095,0.2804761904761905,0.5452380952380953,0.39841269841269844,7,28,4,25,"[0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0]",361128390,"(89, 247)"
5,Tweets,SVC1,6,0.5533333333333333,0.2238095238095238,0.29623376623376624,0.5333333333333333,0.4439909297052154,7,27,5,25,"[0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1
 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0]",361128390,"(89, 247)"
6,Tweets,SVC1,7,0.35424242424242425,0.3,0.30666666666666664,0.45476190476190476,0.4640589569160998,10,19,13,22,"[0 0 0 0 0 0 1 1 1 0 0 1 0 1 1 1 1 1 1 1 0 1 1 1 0 0 0 1 1 1 1 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0]",361128390,"(89, 247)"
7,Tweets,SVC1,8,0.35333333333333333,0.21428571428571427,0.2644444444444444,0.4666666666666667,0.44263038548752837,7,23,9,25,"[1 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0]",361128390,"(89, 247)"
8,Tweets,SVC1,9,0.26666666666666666,0.15714285714285714,0.19717171717171716,0.4666666666666667,0.41587301587301584,5,25,7,27,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0]",361128390,"(89, 247)"
9,Tweets,SVC1,10,0.7333333333333333,0.24285714285714285,0.3302197802197802,0.5595238095238095,0.48151927437641723,8,28,4,24,"[0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0
 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0]",361128390,"(89, 247)"
10,Tweets,SVC1,11,0.3333333333333333,0.1238095238095238,0.18,0.48333333333333334,0.34591836734693876,4,27,5,28,"[0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0]",361128390,"(89, 247)"
11,Tweets,SVC1,12,0.3333333333333333,0.1238095238095238,0.18,0.4976190476190476,0.49342403628117915,4,28,4,28,"[0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0]",361128390,"(89, 247)"
12,Tweets,SVC1,13,0.5666666666666667,0.2238095238095238,0.31444444444444447,0.519047619047619,0.5733560090702948,7,26,6,25,"[0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1]",361128390,"(89, 247)"
13,Tweets,SVC1,14,0.18571428571428572,0.15714285714285714,0.16503496503496504,0.4666666666666667,0.4614512471655329,5,25,7,27,"[1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 1 0 0 0 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0]",361128390,"(89, 247)"
