,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Tweets,SVC1,1,0.6133333333333333,0.2857142857142857,0.3412893642305407,0.5,0.4653061224489796,10,25,10,25,"[0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 1 1 1 1 0 1 1 0 1 0 1 0 1 1 0 1 0 0 1 0 1 0 0 0]",361128390,"(97, 247)"
1,Tweets,SVC1,2,0.5533333333333333,0.5428571428571428,0.5403846153846154,0.5428571428571428,0.5204081632653061,19,19,16,16,"[0 0 0 1 0 0 0 1 0 1 0 1 1 0 0 0 1 0 1 0 0 0 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1
 1 0 0 0 1 0 1 0 1 0 1 1 1 1 0 1 1 1 0 1 1 0 0 1 0 1 0 1 0 0 0 1 0]",361128390,"(97, 247)"
2,Tweets,SVC1,3,0.54,0.37142857142857144,0.37778280542986425,0.5857142857142857,0.6816326530612244,13,28,7,22,"[0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 1 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1]",361128390,"(97, 247)"
3,Tweets,SVC1,4,0.7933333333333333,0.39999999999999997,0.5145299145299145,0.6285714285714286,0.7142857142857143,14,30,5,21,"[0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0
 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0]",361128390,"(97, 247)"
4,Tweets,SVC1,5,0.77,0.2857142857142857,0.39242424242424245,0.5857142857142857,0.6306122448979592,10,31,4,25,"[0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0
 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]",361128390,"(97, 247)"
5,Tweets,SVC1,6,0.525,0.2571428571428571,0.32525252525252524,0.4714285714285714,0.5387755102040817,9,24,11,26,"[0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0
 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 1 1 1]",361128390,"(97, 247)"
6,Tweets,SVC1,7,0.5333333333333333,0.2571428571428571,0.33392385392385393,0.5142857142857142,0.5204081632653061,9,27,8,26,"[0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0
 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 1 1 0 1 0 0]",361128390,"(97, 247)"
7,Tweets,SVC1,8,0.5709090909090909,0.34285714285714286,0.34411764705882353,0.4714285714285714,0.5326530612244897,12,21,14,23,"[1 1 1 1 1 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0
 0 0 0 0 0 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0]",361128390,"(97, 247)"
8,Tweets,SVC1,9,0.5422222222222222,0.39999999999999997,0.4100653594771242,0.5428571428571428,0.4816326530612245,14,24,11,21,"[0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1
 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 1 1 1 0 1 1 1 1 0 0 1 1 1 1 1 0 1]",361128390,"(97, 247)"
9,Tweets,SVC1,10,0.7266666666666667,0.3714285714285714,0.46974358974358976,0.6142857142857143,0.6,13,30,5,22,"[0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 1 0 0 1 0 1 0 1 0 0
 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1]",361128390,"(97, 247)"
