,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Tweets,SVC2,1,0.8,0.2523809523809524,0.38333333333333336,0.5952380952380952,0.6317460317460317,8,30,2,24,"[0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0]",361128390,"(89, 247)"
1,Tweets,SVC2,2,0.43333333333333335,0.15238095238095237,0.22444444444444445,0.5476190476190476,0.6680272108843538,5,30,2,27,"[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",361128390,"(89, 247)"
2,Tweets,SVC2,3,0.8,0.2523809523809524,0.3738095238095238,0.5952380952380952,0.6537981859410431,8,30,2,24,"[0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0]",361128390,"(89, 247)"
3,Tweets,SVC2,4,0.8,0.19047619047619047,0.29047619047619044,0.5619047619047619,0.6554421768707483,6,30,2,26,"[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0]",361128390,"(89, 247)"
4,Tweets,SVC2,5,0.7833333333333333,0.27619047619047615,0.3962337662337662,0.5928571428571429,0.6886054421768708,9,29,3,23,"[0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]",361128390,"(89, 247)"
5,Tweets,SVC2,6,0.7999999999999999,0.28095238095238095,0.406031746031746,0.5952380952380952,0.6989795918367347,9,29,3,23,"[0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0]",361128390,"(89, 247)"
6,Tweets,SVC2,7,0.7,0.2857142857142857,0.3877777777777778,0.5619047619047619,0.6804988662131519,9,27,5,23,"[1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1
 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0]",361128390,"(89, 247)"
7,Tweets,SVC2,8,0.77,0.3476190476190476,0.4481818181818182,0.5928571428571429,0.7005668934240363,11,27,5,21,"[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1]",361128390,"(89, 247)"
8,Tweets,SVC2,9,0.72,0.4095238095238095,0.48878787878787877,0.6071428571428571,0.7013605442176871,13,26,6,19,"[0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 1
 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0 1 0 0]",361128390,"(89, 247)"
9,Tweets,SVC2,10,0.5933333333333334,0.30476190476190473,0.37047619047619046,0.5738095238095238,0.6912698412698413,10,27,5,22,"[0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 1 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0]",361128390,"(89, 247)"
