,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Tweets,XG,1,0.5933333333333334,0.4333333333333333,0.47881562881562884,0.5595238095238095,0.5162698412698413,14,22,10,18,"[1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 1 1 1 0 0 1 0 0 1 0 0
 0 1 1 1 1 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1]",361128390,"(89, 247)"
1,Tweets,XG,2,0.5583333333333333,0.4714285714285714,0.506060606060606,0.5357142857142857,0.5062358276643991,15,19,13,17,"[0 1 0 0 0 1 1 1 1 1 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0
 0 0 0 1 0 1 1 0 1 1 0 0 1 0 1 1 1 0 1 1 0 1 0 0 0 0 0]",361128390,"(89, 247)"
2,Tweets,XG,3,0.6261904761904762,0.5619047619047619,0.5658369408369408,0.5880952380952381,0.5517573696145125,18,20,12,14,"[0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 1 1 1 1 0 0 0 1 0 0 0 1 0 0 0 0 1 1 1 1 0 1
 1 0 0 1 0 1 1 1 1 1 1 0 0 1 1 0 1 1 0 0 1 0 0 1 0 0 0]",361128390,"(89, 247)"
3,Tweets,XG,4,0.5434920634920635,0.5,0.5061965811965812,0.5333333333333333,0.5342403628117914,16,18,14,16,"[1 1 1 0 0 0 1 1 0 0 1 1 0 0 0 1 1 0 1 0 1 1 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0
 0 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 1 1 0 1 1 1 0]",361128390,"(89, 247)"
4,Tweets,XG,5,0.589047619047619,0.5571428571428572,0.5500653594771242,0.5642857142857143,0.5644557823129251,18,18,14,14,"[1 1 0 0 1 0 1 1 1 1 0 1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 0 0 1 0 1 0 1 0 1 0
 0 0 0 1 1 1 0 1 0 1 0 0 1 1 0 1 0 1 1 0 0 1 0 0 0 1 0]",361128390,"(89, 247)"
5,Tweets,XG,6,0.5383333333333333,0.6238095238095238,0.573231474407945,0.55,0.5651927437641723,20,15,17,12,"[1 1 0 1 1 1 1 0 0 0 1 0 1 1 1 0 0 1 0 1 1 1 1 1 0 1 1 0 1 0 0 0 1 1 1 0 1
 1 1 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 1 0 1]",361128390,"(89, 247)"
6,Tweets,XG,7,0.68,0.6571428571428571,0.6511128087598675,0.6595238095238095,0.7024943310657596,21,21,11,11,"[0 1 1 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 0
 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 1 1]",361128390,"(89, 247)"
7,Tweets,XG,8,0.5097619047619047,0.5238095238095238,0.5152181152181152,0.5095238095238095,0.5845238095238096,17,16,16,15,"[1 0 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0 1 0 1 1 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0
 0 0 0 0 1 1 0 1 0 0 0 1 1 1 1 1 0 0 1 1 0 0 0 1 1 0 1]",361128390,"(89, 247)"
8,Tweets,XG,9,0.5619047619047619,0.5714285714285714,0.5641025641025641,0.5666666666666667,0.6770975056689342,18,18,14,14,"[1 1 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 1 1 1 1 1 0 1 1
 0 0 0 0 0 0 1 1 1 0 1 1 1 1 0 1 0 0 0 1 1 1 0 0 0 1 1]",361128390,"(89, 247)"
9,Tweets,XG,10,0.6444444444444445,0.6285714285714286,0.6086940836940837,0.6261904761904762,0.64359410430839,20,20,12,12,"[1 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1
 0 0 1 0 0 0 1 1 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 0 0 1 1]",361128390,"(89, 247)"
