,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Tweets,XG,1,0.5177272727272727,0.6190476190476191,0.5547406841524488,0.5190476190476191,0.5,20,13,19,12,"[1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 1 1 0 0
 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 1 1 1 1 1]",361128390,"(89, 247)"
1,Tweets,XG,2,0.45571428571428574,0.44285714285714284,0.44097079391197036,0.45952380952380956,0.4532312925170068,14,15,17,18,"[0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1
 0 1 1 0 1 0 1 0 1 1 1 0 0 0 0 1 1 0 1 0 0 1 0 0 1 1 1]",361128390,"(89, 247)"
2,Tweets,XG,3,0.6794444444444444,0.6571428571428571,0.6533333333333333,0.6547619047619048,0.5908163265306122,21,21,11,11,"[0 1 0 1 1 1 0 1 0 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0 1
 0 0 1 1 1 1 1 0 0 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 0 1]",361128390,"(89, 247)"
3,Tweets,XG,4,0.5106060606060606,0.519047619047619,0.5011965811965812,0.5928571428571429,0.6956916099773243,17,21,11,15,"[0 0 1 1 1 0 0 1 0 0 1 1 0 1 0 1 1 1 0 1 1 1 1 1 0 1 0 1 1 0 0 0 1 1 1 0 1
 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0]",361128390,"(89, 247)"
4,Tweets,XG,5,0.72,0.6619047619047619,0.6752447552447552,0.6904761904761905,0.7304421768707483,21,23,9,11,"[0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 1 1 1 1 0 1 0 1 0 0 0 0 1 0 0
 0 0 0 0 1 1 0 0 1 1 1 0 0 1 0 1 0 0 1 1 0 1 1 1 1 1 1]",361128390,"(89, 247)"
5,Tweets,XG,6,0.644047619047619,0.6523809523809524,0.6329181929181928,0.638095238095238,0.6857142857142857,21,20,12,11,"[0 1 0 1 1 0 1 1 0 1 1 0 0 0 0 0 1 1 1 1 0 0 0 1 0 1 1 1 1 0 1 0 1 1 1 1 0
 0 0 1 0 1 1 1 1 1 1 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0]",361128390,"(89, 247)"
6,Tweets,XG,7,0.6707142857142857,0.6857142857142857,0.6706959706959706,0.6642857142857143,0.6820861678004535,22,21,11,10,"[0 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 1 0 1 0 1 1 1 0 1 1 1 0 1 0 0 1 1 0 1
 1 1 1 1 0 0 1 0 0 0 0 0 1 1 1 1 0 0 1 1 1 1 0 0 0 1 1]",361128390,"(89, 247)"
7,Tweets,XG,8,0.49642857142857144,0.4666666666666667,0.47067599067599064,0.49523809523809526,0.45476190476190476,15,17,15,17,"[1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 1 0 1 0 1 1 0 1 1 0 0 0 0 0 1 1
 1 1 1 0 1 0 0 0 1 0 0 0 1 1 1 1 0 0 1 1 0 0 0 1 0 1 1]",361128390,"(89, 247)"
8,Tweets,XG,9,0.6326190476190476,0.5619047619047619,0.5756743256743256,0.6261904761904762,0.6738095238095239,18,22,10,14,"[1 0 0 1 1 1 0 1 1 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 1 1 0 0 1 1 1 1 1 0 1 0 1
 0 0 1 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0]",361128390,"(89, 247)"
9,Tweets,XG,10,0.5577777777777778,0.5619047619047619,0.5490909090909091,0.5428571428571429,0.5600907029478458,18,17,15,14,"[0 0 0 0 0 1 0 1 0 1 0 1 1 1 0 0 1 1 0 0 1 0 1 0 1 1 1 1 1 0 1 1 0 0 1 1 0
 1 1 1 1 0 0 1 0 1 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 1 0]",361128390,"(89, 247)"
10,Tweets,XG,1,0.41817460317460314,0.47619047619047616,0.43866133866133866,0.45714285714285713,0.4332199546485261,15,14,18,17,"[0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 0 1 1 0 1 1 1 0 1 0 1 1 1 0 1 0 1 0 0 1 0 0
 0 1 1 1 0 0 1 1 0 0 1 1 1 0 1 1 0 1 0 1 1 0 1 0 0 1 1]",25678624,"(89, 247)"
11,Tweets,XG,2,0.5053968253968254,0.5523809523809524,0.5184512546277252,0.5142857142857142,0.5770975056689343,18,15,17,14,"[0 1 0 1 0 1 1 1 1 1 1 1 0 0 1 0 0 1 1 1 0 1 1 0 1 0 1 0 1 1 1 1 1 0 0 0 0
 0 1 1 0 1 1 0 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 0 0 1 0 0]",25678624,"(89, 247)"
12,Tweets,XG,3,0.7857142857142857,0.6523809523809524,0.6810170221934927,0.6928571428571428,0.7941609977324263,21,23,9,11,"[1 1 1 0 1 1 1 1 0 1 1 0 0 0 0 1 0 0 1 1 1 1 1 1 1 0 0 0 0 0 1 0 0 0 1 1 0
 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 0 0 1 0]",25678624,"(89, 247)"
13,Tweets,XG,4,0.6699999999999999,0.6190476190476191,0.6355011655011654,0.6547619047619048,0.7219954648526077,20,22,10,12,"[0 1 0 0 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 0 0 1 0 0 1 1 0 0 1 0 0 0 1 0 0 0 1
 1 0 1 1 0 1 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1]",25678624,"(89, 247)"
