,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Tweets,kNN3,5,0.5333333333333333,0.5619047619047619,0.5387612387612387,0.5095238095238095,0.5325396825396826,18,15,17,14,"[1 0 0 1 1 0 1 0 0 1 1 0 0 1 1 1 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 0 1 0 1 0
 0 1 0 1 0 0 0 1 0 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1]",361128390,"(89, 247)"
1,Tweets,kNN3,6,0.5165079365079365,0.4380952380952381,0.4565079365079365,0.5,0.5329931972789115,14,18,14,18,"[0 0 1 0 0 1 0 1 1 1 1 1 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0 1 0 1 0 1 0
 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 1 1 1 1 1 1 0 1]",361128390,"(89, 247)"
2,Tweets,kNN3,7,0.5142857142857142,0.3904761904761905,0.43580419580419577,0.5833333333333334,0.5976190476190477,12,25,7,20,"[1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0
 1 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 0]",361128390,"(89, 247)"
3,Tweets,kNN3,8,0.5833333333333334,0.4095238095238095,0.46836829836829835,0.5666666666666667,0.6442743764172336,13,23,9,19,"[1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 1 0 0
 0 1 1 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1]",361128390,"(89, 247)"
4,Tweets,kNN3,9,0.6783333333333333,0.37142857142857144,0.446031746031746,0.5523809523809524,0.590702947845805,12,23,9,20,"[1 1 1 0 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 1 1 0 1 0 1 1 1 1 0 0 0 0 1
 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]",361128390,"(89, 247)"
5,Tweets,kNN3,10,0.62,0.34285714285714286,0.42272727272727273,0.5476190476190476,0.6118480725623583,11,24,8,21,"[0 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0
 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 1]",361128390,"(89, 247)"
6,Tweets,kNN3,11,0.6016666666666667,0.4476190476190476,0.4874025974025974,0.5976190476190476,0.6623015873015874,14,24,8,18,"[0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1
 1 0 1 1 1 1 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0]",361128390,"(89, 247)"
7,Tweets,kNN3,12,0.5366666666666666,0.3761904761904762,0.4315151515151515,0.5761904761904761,0.6507369614512472,12,25,7,20,"[0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 1 0 0 1 1 0 1 0 0 1 1 1 1 0 1 0 0 1 0 1 0 0 0 0]",361128390,"(89, 247)"
8,Tweets,kNN3,13,0.71,0.39999999999999997,0.5033333333333333,0.6190476190476191,0.6503968253968254,13,27,5,19,"[0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0]",361128390,"(89, 247)"
9,Tweets,kNN3,14,0.7466666666666667,0.4952380952380952,0.5877233877233877,0.6547619047619048,0.7379818594104308,16,26,6,16,"[0 1 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 1 0 1 1 0 0 0 0
 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 0]",361128390,"(89, 247)"
