,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Tweets,kNN5,1,0.6071428571428571,0.6333333333333333,0.606966366966367,0.5952380952380952,0.5918934240362812,20,18,14,12,"[1 0 1 1 1 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 0 1 1
 1 0 1 1 1 1 1 0 0 1 1 1 1 1 0 0 0 0 0 1 0 1 1 1 1 1 1]",361128390,"(89, 247)"
1,Tweets,kNN5,2,0.45095238095238094,0.39999999999999997,0.41837662337662335,0.45476190476190476,0.44178004535147397,13,16,16,19,"[0 0 1 0 1 0 1 1 1 1 1 1 0 1 0 0 0 1 0 1 1 0 1 0 1 0 1 0 1 1 1 0 1 1 0 0 0
 0 0 1 1 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0]",361128390,"(89, 247)"
2,Tweets,kNN5,3,0.5527777777777778,0.6523809523809524,0.5873015873015873,0.5904761904761905,0.6100907029478458,21,17,15,11,"[0 0 1 1 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 0
 1 1 0 1 1 0 1 0 1 1 1 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 1]",361128390,"(89, 247)"
3,Tweets,kNN5,4,0.6238095238095238,0.6190476190476191,0.614065934065934,0.6166666666666667,0.6696145124716554,20,20,12,12,"[1 1 1 0 0 0 0 1 0 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 1 1 0 0 1 0 1 1 1 0 1 0 1
 1 1 1 0 0 1 1 0 1 0 1 0 1 0 0 1 1 1 0 0 1 0 1 1 0 0 0]",361128390,"(89, 247)"
4,Tweets,kNN5,5,0.5388888888888889,0.5523809523809523,0.5418181818181818,0.5428571428571428,0.5467687074829932,18,17,15,14,"[1 0 1 1 1 0 1 1 1 0 0 0 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 0 0 0 1 1 0 0 0 1 1
 0 0 1 1 1 0 0 0 1 1 0 0 0 0 1 1 0 0 1 1 0 0 0 1 0 0 1]",361128390,"(89, 247)"
5,Tweets,kNN5,6,0.6566666666666666,0.7857142857142857,0.7035964035964035,0.6880952380952381,0.6113945578231292,25,19,13,7,"[0 1 1 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 0 1 1 0
 1 1 1 0 1 1 1 0 1 1 0 0 1 0 1 1 0 0 0 0 0 1 0 1 1 1 0]",361128390,"(89, 247)"
6,Tweets,kNN5,7,0.5396825396825397,0.5714285714285714,0.5434232434232434,0.5476190476190477,0.5611678004535148,18,17,15,14,"[0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 1 1 0 0 1 0 1 0 1 1 0 1 1 0 0 0 1 1 0 1 1 0
 1 1 1 1 1 0 1 0 1 1 0 0 1 0 1 1 1 1 0 1 0 1 0 0 1 0 0]",361128390,"(89, 247)"
7,Tweets,kNN5,8,0.5371428571428571,0.4666666666666667,0.4823976023976024,0.5047619047619047,0.4843537414965986,15,18,14,17,"[0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 1 1 1 0 0 0 1 1 1
 1 1 1 1 1 0 0 0 1 1 0 0 0 1 0 0 1 0 1 1 1 1 1 1 0 0 0]",361128390,"(89, 247)"
8,Tweets,kNN5,9,0.4907142857142857,0.5285714285714286,0.5060606060606061,0.4976190476190476,0.4643990929705215,17,15,17,15,"[0 0 0 1 1 1 0 1 0 1 1 1 0 0 1 0 1 0 0 1 0 1 0 0 1 1 1 1 0 1 1 0 1 0 1 1 1
 0 0 0 1 0 0 1 1 0 1 0 1 1 1 1 1 1 0 1 1 0 0 0 0 0 1 0]",361128390,"(89, 247)"
9,Tweets,kNN5,10,0.553968253968254,0.6428571428571429,0.5890065816536405,0.6214285714285714,0.6499433106575964,21,19,13,11,"[1 1 0 0 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0 0 0 1 1 0 1 0
 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 1 1 0 1 1 0 0 1 0]",361128390,"(89, 247)"
10,Tweets,kNN5,11,0.521025641025641,0.5476190476190476,0.5135819735819735,0.5428571428571428,0.5921768707482993,18,17,15,14,"[1 1 1 1 1 0 1 0 0 0 0 0 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 0 1 1 1 0 0 0
 0 1 1 0 0 1 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0]",361128390,"(89, 247)"
11,Tweets,kNN5,12,0.625,0.6761904761904761,0.6390476190476191,0.6190476190476191,0.6655328798185941,22,18,14,10,"[1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 0 0 1 0 0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1
 1 1 0 0 1 1 0 0 1 0 1 1 1 1 1 0 1 0 0 1 0 0 1 0 1 0 0]",361128390,"(89, 247)"
12,Tweets,kNN5,13,0.5869047619047619,0.6238095238095238,0.604029304029304,0.5928571428571429,0.6087868480725623,20,18,14,12,"[1 1 1 1 1 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 1 1 1 0 0 1 1 1 0 0 1 0 0 1 1 1
 1 1 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 1 1 0 1 0 1 1 0 0 1]",361128390,"(89, 247)"
13,Tweets,kNN5,14,0.5329365079365079,0.6523809523809524,0.583974358974359,0.5428571428571429,0.5599206349206349,21,14,18,11,"[0 1 0 1 0 0 1 1 1 1 0 0 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 0 0 1 0 0 0 0 1 1
 1 1 0 1 1 1 0 1 0 1 1 1 0 1 1 0 1 0 1 0 1 1 1 0 0 1 1]",361128390,"(89, 247)"
14,Tweets,kNN5,15,0.6265584415584415,0.7142857142857143,0.6581529581529582,0.6404761904761904,0.6464285714285715,23,18,14,9,"[1 1 0 0 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 0 0 0 1 0 0 1 1 1 1 0 1 0 1 0 1 1 0
 0 0 0 0 1 0 0 1 0 1 1 0 1 1 1 1 0 0 1 1 0 1 0 1 0 1 1]",361128390,"(89, 247)"
15,Tweets,kNN5,1,0.530952380952381,0.3761904761904762,0.4298412698412698,0.5166666666666666,0.5789115646258504,12,21,11,20,"[0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1
 0 0 0 0 1 1 1 0 0 1 1 1 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0]",25678624,"(89, 247)"
16,Tweets,kNN5,2,0.45,0.4380952380952381,0.43582887700534756,0.4714285714285714,0.48214285714285715,14,16,16,18,"[1 1 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 0 1 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0
 1 0 0 1 1 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 1 1 0]",25678624,"(89, 247)"
17,Tweets,kNN5,3,0.5531746031746032,0.5666666666666667,0.5518681318681318,0.5380952380952381,0.6009637188208616,18,16,16,14,"[0 0 1 1 1 1 1 0 1 1 1 0 1 1 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 0 1 0 0 1 0
 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0 1 1 0]",25678624,"(89, 247)"
18,Tweets,kNN5,4,0.67,0.5619047619047619,0.6085780885780885,0.6404761904761904,0.6827097505668934,18,23,9,14,"[0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 1 0 0 1 0 0 1 1 0 0 1 0 1 1 1 0 0 0 0 0 0
 1 0 1 1 0 0 0 0 1 1 0 0 0 1 1 1 0 1 0 0 1 0 0 0 1 1 1]",25678624,"(89, 247)"
19,Tweets,kNN5,5,0.6287301587301587,0.6857142857142857,0.65004329004329,0.638095238095238,0.6227324263038548,22,19,13,10,"[0 1 1 0 1 1 1 1 1 0 0 0 1 1 0 1 0 1 1 1 1 0 0 0 0 0 1 1 0 1 1 1 0 1 1 1 1
 1 1 1 0 1 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1 0 1 0 0 0 1 0]",25678624,"(89, 247)"
20,Tweets,kNN5,6,0.6326190476190476,0.6238095238095238,0.6230769230769231,0.6214285714285714,0.6312358276643991,20,20,12,12,"[0 1 1 0 1 0 0 0 0 1 0 1 1 0 0 0 1 1 1 0 1 1 1 0 0 1 0 0 0 1 1 0 1 0 0 1 1
 1 0 1 0 1 0 1 1 0 1 1 0 0 0 1 1 1 0 1 1 0 1 0 0 0 0 1]",25678624,"(89, 247)"
21,Tweets,kNN5,7,0.5583333333333333,0.6619047619047619,0.5976007326007325,0.5619047619047619,0.6311791383219956,21,15,17,11,"[0 0 0 1 0 1 1 1 1 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 0 0 1 1 1 0 0 0 1 1 1 0 0
 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 0 1]",25678624,"(89, 247)"
22,Tweets,kNN5,8,0.6430447330447331,0.6619047619047619,0.6389588189588189,0.6095238095238095,0.6052721088435374,21,17,15,11,"[0 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1 0 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 1 0 0
 1 0 0 1 0 1 0 1 1 1 1 1 1 0 1 1 0 1 0 0 1 0 0 1 0 0 1]",25678624,"(89, 247)"
23,Tweets,kNN5,9,0.5942857142857143,0.40476190476190477,0.4464102564102564,0.5357142857142857,0.552437641723356,13,21,11,19,"[0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 1 1 0 1 0 1 1 0 0 1 1 0 0 1 0 1 1 0 0 0 0 0
 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 0 1]",25678624,"(89, 247)"
24,Tweets,kNN5,10,0.5933333333333334,0.6238095238095238,0.5985994397759103,0.5761904761904761,0.5413265306122449,20,17,15,12,"[0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 0 0 0 1 0 1 1 0 0 1 0 1 1 1
 1 1 0 1 0 1 0 0 1 1 1 1 0 0 0 1 1 1 0 1 1 1 1 0 0 1 0]",25678624,"(89, 247)"
25,Tweets,kNN5,11,0.625,0.7380952380952381,0.6651082251082251,0.6666666666666666,0.6184807256235828,23,19,13,9,"[1 1 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 0
 1 1 1 0 1 0 0 0 0 0 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 0]",25678624,"(89, 247)"
26,Tweets,kNN5,12,0.4704761904761905,0.5285714285714286,0.49358974358974356,0.5619047619047619,0.5615079365079365,17,19,13,15,"[0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1
 0 1 1 1 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 0 1 0 1 1 1 0]",25678624,"(89, 247)"
27,Tweets,kNN5,13,0.6242857142857143,0.5952380952380952,0.5943589743589743,0.5880952380952381,0.6129251700680273,19,19,13,13,"[1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 1 1 1 1 1 0
 0 1 1 1 1 0 1 1 0 1 1 1 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0]",25678624,"(89, 247)"
28,Tweets,kNN5,14,0.6274603174603175,0.6,0.6006993006993007,0.5976190476190476,0.6157596371882086,19,19,13,13,"[0 1 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 1 1 0 1 0 1 1 0 1 0 1 0
 1 1 1 1 1 1 0 1 1 0 0 1 0 0 0 0 1 1 0 1 1 1 0 1 0 0 0]",25678624,"(89, 247)"
29,Tweets,kNN5,15,0.6378571428571429,0.6238095238095238,0.6216450216450217,0.6023809523809524,0.611111111111111,20,19,13,12,"[0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 1 1 0 0 1 0 0 0 1 1 1 1 0 1 0 1 1 1 0 1 1 1
 0 0 0 0 1 0 1 1 0 1 0 1 1 1 0 0 0 1 1 1 0 1 1 1 0 0 1]",25678624,"(89, 247)"
30,Tweets,kNN5,1,0.44559884559884555,0.5714285714285714,0.4964102564102564,0.49047619047619045,0.5705215419501134,18,13,19,14,"[1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 1 1 0 1 1 1 1
 0 0 1 0 1 1 1 1 0 0 0 0 1 1 1 0 1 1 0 0 1 0 1 0 1 1 0]",286227372,"(89, 247)"
31,Tweets,kNN5,2,0.46984126984126984,0.4666666666666666,0.45992673992673994,0.4642857142857143,0.5167233560090703,15,15,17,17,"[1 0 0 0 0 1 0 1 1 0 1 0 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 1 0 0 0 1 1 1 0 1 1
 0 0 1 0 0 1 0 1 1 0 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 0]",286227372,"(89, 247)"
32,Tweets,kNN5,3,0.5517748917748918,0.6333333333333333,0.58005772005772,0.5428571428571428,0.5482426303854876,20,14,18,12,"[0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 0 0 1 0 0 0 1 1 0 1 1 1 0 1 0 1 0 0 0 1 0
 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 1 1 0 0 1 0 0 0 1]",286227372,"(89, 247)"
33,Tweets,kNN5,4,0.680952380952381,0.6571428571428571,0.6528451940216646,0.6404761904761905,0.6360544217687074,21,20,12,11,"[0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0
 0 0 0 1 0 0 1 0 1 0 1 0 1 1 0 0 0 1 0 1 1 0 0 1 1 1 1]",286227372,"(89, 247)"
34,Tweets,kNN5,5,0.525,0.6238095238095238,0.5696703296703296,0.5285714285714286,0.5126417233560091,20,14,18,12,"[1 0 0 1 1 0 1 1 0 1 0 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 0 1 1 1 1 0 1 1 0 1 1
 1 0 1 0 1 0 0 1 1 1 1 0 0 0 1 1 1 1 0 1 0 0 1 0 1 1 1]",286227372,"(89, 247)"
