,texts,model,nFeatures,precision,recall,F1,Accuracy,AUC,truePos,trueNeg,falsePos,falseNeg,predictions,randomN,shape
0,Tweets,kNN5,1,0.38166666666666665,0.42857142857142855,0.3986993398758104,0.3833333333333333,0.44314058956916097,14,11,21,18,"[1 0 1 0 1 0 0 1 0 0 1 0 1 1 1 0 1 1 1 0 1 0 1 0 0 1 1 0 1 1 1 1 1 0 1 0 1
 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 1 0 0 1 1 1 1 1]",361128390,"(89, 247)"
1,Tweets,kNN5,2,0.44166666666666665,0.4095238095238095,0.4174159174159174,0.43333333333333335,0.40850340136054425,13,15,17,19,"[1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 1 1 0 1
 1 0 1 1 0 0 0 1 0 0 1 1 1 0 1 0 0 0 1 1 0 1 1 1 0 1 1]",361128390,"(89, 247)"
2,Tweets,kNN5,3,0.5933333333333334,0.5476190476190476,0.5606726606726606,0.5880952380952381,0.5749433106575964,17,20,12,15,"[1 0 0 1 1 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 1 1 0 0 0 1 1 0 0 1 1 0 0 0
 1 1 1 0 0 0 0 0 1 0 1 0 0 1 1 0 1 0 0 0 1 1 1 0 1 0 1]",361128390,"(89, 247)"
3,Tweets,kNN5,4,0.6304761904761905,0.5904761904761905,0.6086580086580087,0.6238095238095238,0.6357142857142858,19,21,11,13,"[1 0 1 0 1 1 1 0 0 1 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 1 1 0 1 0 1 1 0 0 0 0
 0 1 0 1 0 1 1 0 0 0 1 0 1 0 1 0 1 1 0 1 0 0 1 0 0 1 0]",361128390,"(89, 247)"
4,Tweets,kNN5,5,0.559047619047619,0.5380952380952381,0.5455627705627706,0.5428571428571429,0.5599206349206349,17,17,15,15,"[1 1 1 1 1 1 0 0 0 1 0 0 1 1 1 1 0 0 0 1 0 1 1 1 0 0 1 0 0 0 1 1 0 1 1 0 0
 0 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 0 1 1 0 1 1 0 0 0 0 1]",361128390,"(89, 247)"
5,Tweets,kNN5,6,0.5726190476190476,0.6238095238095238,0.5952380952380952,0.5761904761904761,0.5930272108843537,20,17,15,12,"[1 1 1 0 0 0 1 1 1 0 0 0 1 1 1 0 1 1 1 0 0 1 1 0 0 1 1 1 0 0 1 1 0 0 0 1 1
 1 0 0 1 1 1 1 0 0 0 1 1 1 0 0 0 0 1 0 1 0 1 1 1 0 1 0]",361128390,"(89, 247)"
6,Tweets,kNN5,7,0.5095238095238095,0.5761904761904761,0.5290842490842491,0.5357142857142857,0.5701814058956917,18,16,16,14,"[0 0 0 1 1 1 1 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 0 1 1 0 1 1
 0 1 0 0 1 0 0 1 1 0 0 1 1 1 1 0 1 1 0 1 0 0 1 1 1 1 1]",361128390,"(89, 247)"
7,Tweets,kNN5,8,0.605,0.5190476190476191,0.5370409982174688,0.5619047619047619,0.5718820861678005,17,19,13,15,"[0 1 1 0 1 1 1 0 0 1 1 1 1 0 1 1 0 1 0 1 0 1 1 0 1 1 0 0 0 0 1 0 1 1 1 0 0
 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 1 0 0 1]",361128390,"(89, 247)"
8,Tweets,kNN5,9,0.5468253968253969,0.5380952380952381,0.527039627039627,0.5285714285714286,0.5126417233560091,17,17,15,15,"[0 1 0 0 0 1 0 0 1 1 0 0 1 0 0 0 1 0 1 0 0 0 1 1 1 0 0 1 1 1 1 1 1 0 0 0 1
 1 0 0 1 1 0 1 1 0 0 0 0 0 1 0 1 1 1 1 0 1 1 1 0 0 1 1]",361128390,"(89, 247)"
9,Tweets,kNN5,10,0.5793650793650793,0.5095238095238095,0.5102564102564102,0.569047619047619,0.5723922902494332,16,20,12,16,"[1 1 1 1 1 0 0 1 0 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0
 0 0 0 0 0 1 1 1 0 1 0 0 0 1 1 1 1 0 1 0 1 0 0 1 1 1 1]",361128390,"(89, 247)"
10,Tweets,kNN5,11,0.55,0.4714285714285714,0.4959358288770053,0.5214285714285715,0.4943310657596372,15,18,14,17,"[1 1 1 1 1 1 1 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0
 1 0 0 1 0 0 0 0 1 0 0 1 1 1 1 1 0 1 1 0 0 0 0 0 1 0 1]",361128390,"(89, 247)"
