ID,Messages,deception,nervousness,exercise,weakness,healing,confusion,rural,irritability,hiking,office,youth,trust,social_media,hipster,cold,legend,car,weapon,clothing,anonymity,competing,poor,school,medieval,messaging,beach,pride,computer,alcohol,phone,movement,warmth,achievement,smell,fabric,real_estate,sleep,timidity,power,strength,urban,occupation,dance,listen,joy,tool,crime,liquid,hate,masculine,torment,anticipation,meeting,negative_emotion,negotiate,leisure,swearing_terms,fashion,worship,law,family,music,text_abbreviations,driving,vehicle,home,attractive,children,affection,science,programming,heroic,military,eating,disappointment,internet,lust,musical,health,independence,wedding,envy,restaurant,sadness,fun,morning,violence,fear,help,domestic_work,shape_and_size,royalty,ship,cheerfulness,traveling,pain,gain,anger,ocean,death,cleaning,surprise,sympathy,sexual,blue_collar_job,politeness,cooking,politics,appearance,writing,weather,disgust,wealthy,toy,magic,government,technology,monster,plant,stealing,kill,college,giving,business,hygiene,ancient,exasperation,payment,contentment,celebration,water,party,zest,animal,prison,rage,speaking,farming,sailing,communication,breaking,shame,exotic,dominant_personality,sound,optimism,love,hearing,religion,ridicule,body,injury,vacation,night,white_collar_job,reading,work,divine,money,furniture,dispute,medical_emergency,order,ugliness,dominant_heirarchical,fire,childish,play,beauty,neglect,fight,leader,aggression,sports,banking,friends,swimming,positive_emotion,noise,pet,valuable,air_travel,philosophy,feminine,emotional,journalism,tourism,horror,war,economics,shopping,terrorism,art,superhero,suffering,EX,IN,VBN,VB,VBD,WP,RP,POS,JJR,RBR,JJS,WDT,WRB,RB,VBG,NNPS,VBP,MD,CC,NN,PRP$,TO,NNS,SYM,PRP,LS,RBS,CD,NNP,JJ,UH,VBZ,PDT,DT,FW,PositiveCnt,NegativeCnt,PositiveStd,NegativeStd,PostitiveAvg,NegativeAvg,SubjectiveCnt,SubjectiveStd,SubjectiveAvg,WordSum,WordAvg,WordStd,CharacterSum,CharacterAvg,CharacterStd,UniqueCnt,Score
m3670,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0,0,0,0,0,0,0.029411765,0,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0,0.029411765,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0,0,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0.029411765,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0.029411765,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,13,0,1,1,0,2,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,-0.053571429,1,0,0.440178571,35,17.5,3.5,208,104,22,2,8
m2331,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,12,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,454,41.27272727,8.739574663,11,26
m6499,145,0,0.002780352,0,0,0.002780352,0.000926784,0,0.002780352,0.000926784,0.000926784,0.001853568,0,0.000926784,0.001853568,0.00463392,0,0.000926784,0.002780352,0,0,0,0,0.002780352,0.000926784,0.005560704,0,0,0.002780352,0.000926784,0.009267841,0.000926784,0.001853568,0,0.001853568,0,0.00463392,0.006487488,0.000926784,0,0,0,0.001853568,0,0.010194625,0.000926784,0,0.001853568,0.002780352,0.003707136,0.000926784,0,0,0.002780352,0.010194625,0,0.00463392,0.002780352,0.002780352,0,0.000926784,0.012048193,0.001853568,0.03892493,0.000926784,0.000926784,0.010194625,0.001853568,0.010194625,0.007414272,0,0.000926784,0.001853568,0,0.00463392,0,0.002780352,0.000926784,0.002780352,0.002780352,0,0.00463392,0,0.002780352,0.000926784,0.002780352,0.005560704,0.002780352,0.001853568,0,0.014828545,0,0,0,0.000926784,0.003707136,0.003707136,0.000926784,0,0,0.000926784,0.00463392,0,0.000926784,0,0,0,0.00463392,0,0.001853568,0.003707136,0.001853568,0,0,0.003707136,0,0.000926784,0.001853568,0,0.001853568,0.000926784,0.000926784,0.002780352,0.009267841,0.009267841,0.003707136,0,0.002780352,0.000926784,0.001853568,0.008341057,0.000926784,0.007414272,0.000926784,0.000926784,0.001853568,0.000926784,0.017608897,0,0,0.014828545,0.000926784,0.002780352,0,0,0.000926784,0.011121409,0.007414272,0.007414272,0,0,0.002780352,0.000926784,0.00463392,0.003707136,0,0.003707136,0.007414272,0,0.00463392,0,0.002780352,0.002780352,0,0,0,0.003707136,0.003707136,0.00463392,0,0,0.001853568,0.000926784,0.001853568,0.002780352,0.002780352,0.008341057,0,0.013901761,0.000926784,0,0.000926784,0,0,0.003707136,0.001853568,0.001853568,0,0.001853568,0.001853568,0.001853568,0.00463392,0,0,0,0.002780352,0,78,19,81,42,4,6,2,2,1,1,2,6,95,23,0,80,22,25,193,18,28,30,0,169,1,1,9,75,53,7,34,0,64,0,43,13,0.262641018,0.19667214,0.474859741,-0.388919414,61,0.226977572,0.63186569,1117,7.703448276,7.874116601,5938,40.95172414,41.77118806,144,15
m4368,111,0,0.000765697,0,0,0.00229709,0,0.000765697,0,0,0.003828484,0,0.000765697,0.00229709,0.001531394,0.003828484,0,0.007656968,0.000765697,0.00229709,0,0,0,0.001531394,0,0.003062787,0.003062787,0.000765697,0.00229709,0.006891271,0.00229709,0.006891271,0.003062787,0.000765697,0.000765697,0.001531394,0.003828484,0.001531394,0.000765697,0.000765697,0.001531394,0.001531394,0.003062787,0,0.000765697,0,0.001531394,0.000765697,0.010719755,0.001531394,0.000765697,0,0,0.009188361,0.007656968,0,0.005359877,0,0,0,0.000765697,0.012251149,0.000765697,0.001531394,0.009954058,0.007656968,0.017611026,0.001531394,0.001531394,0.000765697,0.00229709,0.000765697,0,0,0.015313936,0,0.00229709,0,0.000765697,0.006125574,0,0.007656968,0,0.013016845,0.000765697,0.001531394,0.003828484,0.003062787,0,0.00229709,0.013016845,0.006125574,0,0,0,0.005359877,0.003062787,0,0,0.004594181,0.000765697,0.00229709,0.000765697,0.000765697,0,0,0,0.019908116,0,0,0.001531394,0.001531394,0,0.000765697,0.001531394,0,0,0.001531394,0,0.004594181,0.000765697,0.000765697,0.003062787,0.015313936,0.013782542,0,0,0,0.003062787,0.000765697,0.007656968,0.001531394,0.012251149,0,0.006125574,0.000765697,0,0.00229709,0,0.001531394,0.008422665,0,0.000765697,0,0,0.000765697,0.001531394,0.001531394,0,0,0.000765697,0.001531394,0,0.008422665,0.00229709,0.00229709,0.001531394,0.007656968,0,0.003828484,0.00229709,0.001531394,0.003828484,0.003062787,0,0,0.000765697,0,0.000765697,0.003062787,0,0.00229709,0.000765697,0.001531394,0,0.00229709,0.001531394,0.001531394,0.000765697,0.000765697,0,0.001531394,0,0.000765697,0,0.00229709,0.000765697,0.00229709,0,0.000765697,0.001531394,0.006891271,0,0.001531394,0,0.000765697,3,133,19,107,32,6,12,8,2,1,0,5,10,85,25,1,57,34,32,217,21,42,47,2,143,0,0,20,106,58,0,32,0,99,0,19,15,0.287622093,0.223579449,0.351350678,-0.314861111,45,0.283667572,0.547379349,1322,11.90990991,10.25226809,6894,62.10810811,56.99444439,108,8
m7974,163,0.002457002,0.002457002,0,0.001228501,0.001228501,0,0.002457002,0,0,0.001228501,0,0.001228501,0.002457002,0,0.007371007,0,0.006142506,0.003685504,0,0,0,0,0.001228501,0,0.004914005,0,0,0,0.003685504,0.003685504,0.003685504,0.003685504,0,0,0,0.002457002,0.015970516,0,0,0.001228501,0,0.001228501,0.001228501,0.001228501,0.002457002,0,0.002457002,0.003685504,0.004914005,0.002457002,0,0,0.007371007,0.015970516,0.001228501,0,0.007371007,0.001228501,0,0,0.007371007,0,0.003685504,0.00982801,0.007371007,0.007371007,0.011056511,0,0.011056511,0,0,0,0,0.017199017,0,0,0.002457002,0,0.004914005,0,0.002457002,0,0.011056511,0.002457002,0,0.014742015,0.004914005,0.002457002,0.001228501,0.01965602,0.001228501,0.001228501,0,0,0.003685504,0.006142506,0,0,0,0.002457002,0.003685504,0.002457002,0.002457002,0,0,0,0.008599509,0,0.002457002,0,0.006142506,0,0.002457002,0.001228501,0,0,0,0,0.001228501,0.001228501,0.001228501,0,0.006142506,0.011056511,0.002457002,0,0,0.001228501,0.002457002,0.001228501,0,0.006142506,0.002457002,0.001228501,0.002457002,0,0.003685504,0.002457002,0,0.006142506,0.003685504,0.004914005,0,0,0,0.014742015,0.008599509,0.001228501,0,0,0.002457002,0.006142506,0.001228501,0.003685504,0.001228501,0,0.003685504,0,0.001228501,0.001228501,0.001228501,0.003685504,0.002457002,0,0,0,0,0,0.011056511,0,0.001228501,0.001228501,0.001228501,0,0.002457002,0.011056511,0,0.015970516,0,0,0.002457002,0,0,0.011056511,0.002457002,0,0.001228501,0,0.001228501,0.001228501,0.003685504,0,0,0,0.007371007,2,58,7,72,25,8,2,2,1,0,0,3,4,63,25,0,39,25,16,156,12,24,38,0,99,0,0,7,33,58,11,26,0,54,0,48,15,0.217837593,0.180367936,0.458523178,-0.32739899,67,0.22997623,0.541102658,874,5.36196319,4.488324439,4145,25.42944785,23.01452444,130,7
m641,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,8,4,0,0,0,1,0,2,0,0.075,0,0.575,0,2,0,1,28,14,10,163,81.5,53.5,2,6
m2892,38,0,0,0,0,0.005347594,0,0,0,0,0.005347594,0,0.005347594,0,0,0,0,0.002673797,0,0,0,0,0.002673797,0.002673797,0,0.024064171,0,0,0.002673797,0,0.037433155,0,0.002673797,0.002673797,0,0,0,0.018716578,0,0,0,0,0.002673797,0,0.024064171,0,0,0,0.002673797,0,0.002673797,0,0,0.002673797,0.005347594,0,0,0,0,0.002673797,0,0.002673797,0,0.013368984,0.002673797,0.002673797,0.00802139,0,0.00802139,0.013368984,0,0.002673797,0,0,0.002673797,0,0.005347594,0,0,0,0,0,0,0.005347594,0,0,0.018716578,0.002673797,0,0,0.024064171,0,0,0,0,0.005347594,0,0,0,0,0,0.002673797,0,0,0,0.002673797,0,0.002673797,0,0.002673797,0.002673797,0.002673797,0,0,0,0,0,0.002673797,0,0,0,0,0.005347594,0.016042781,0.00802139,0.002673797,0,0,0,0,0.002673797,0,0.002673797,0,0,0,0,0.013368984,0,0,0.024064171,0.002673797,0,0,0,0,0.040106952,0.013368984,0.013368984,0.002673797,0,0.002673797,0.002673797,0.005347594,0,0.005347594,0.002673797,0.005347594,0.002673797,0,0.00802139,0,0,0,0,0,0.002673797,0,0,0,0,0,0,0,0,0,0.016042781,0,0.045454545,0,0,0,0,0,0,0,0.002673797,0.002673797,0,0,0.002673797,0,0,0,0,0,0,22,5,24,11,1,3,0,0,0,0,1,1,20,4,0,23,7,12,60,10,9,8,0,48,0,0,12,41,28,0,8,0,20,0,15,0,0.225920738,0,0.533017316,0,16,0.166100526,0.623283279,389,10.23684211,14.08887992,1849,48.65789474,70.59270736,33,5
m1487,14,0,0,0,0,0,0,0,0,0,0,0,0.004716981,0,0,0.014150943,0,0.004716981,0,0,0,0,0,0,0,0.004716981,0,0,0,0,0.028301887,0.014150943,0,0,0,0,0,0.004716981,0,0,0.004716981,0,0,0,0.014150943,0,0,0,0,0,0,0,0,0,0.004716981,0,0,0,0,0,0,0,0,0.009433962,0.004716981,0.004716981,0,0,0,0,0,0,0.004716981,0,0.004716981,0,0,0,0,0,0,0.004716981,0,0.004716981,0,0,0,0,0,0,0,0,0,0,0,0.004716981,0,0,0,0.004716981,0,0,0,0,0,0,0,0.004716981,0,0,0,0.014150943,0,0,0,0,0,0,0,0,0,0,0,0.004716981,0.014150943,0,0,0,0,0,0,0,0,0,0,0,0,0.009433962,0,0,0.009433962,0,0,0,0,0,0,0,0.009433962,0,0,0,0.004716981,0.009433962,0,0,0,0.004716981,0,0.004716981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018867925,0,0,0,0,0,18,2,28,6,1,2,0,0,0,2,0,1,19,6,0,14,7,7,26,3,13,5,0,35,0,0,6,8,7,0,5,0,13,0,5,1,0.250428029,0,0.329722222,-0.05,6,0.190739196,0.491898148,213,15.21428571,13.22972072,949,67.78571429,60.59370379,14,20
m3494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,6,0,1,7
m12,203,0,0.002071251,0,0.00041425,0.003314002,0.002485501,0,0,0,0.002071251,0.001657001,0.002485501,0.001657001,0.001242751,0.002899751,0.00041425,0.001242751,0.00041425,0.0008285,0,0,0.00041425,0.002485501,0.00041425,0.003728252,0,0,0.002899751,0.00041425,0.002485501,0.001657001,0.0008285,0.0008285,0,0.0008285,0.00041425,0.007870754,0,0.0008285,0.002485501,0,0.00041425,0.0008285,0.002485501,0.0008285,0.001242751,0,0.001657001,0.002899751,0.00041425,0.0008285,0,0.001657001,0.009113505,0.00041425,0.00041425,0.002485501,0.00041425,0.00041425,0,0.012013256,0.001657001,0.002899751,0.001242751,0.001242751,0.012427506,0.002071251,0.008699254,0.008699254,0.0008285,0.002485501,0.00041425,0,0.004142502,0,0.001657001,0.0008285,0.0008285,0.002899751,0.00041425,0.002071251,0.00041425,0.004556752,0.001657001,0.0008285,0.007042254,0.003728252,0.001242751,0.0008285,0.009113505,0.007042254,0.0008285,0,0.00041425,0.003314002,0.006628003,0.00041425,0.00041425,0.001242751,0.00041425,0.0008285,0,0.001242751,0,0,0.0008285,0.003314002,0,0.001242751,0.001657001,0.002071251,0,0,0.001657001,0.00041425,0.00041425,0.001242751,0,0,0,0,0.002899751,0.008285004,0.005799503,0.001242751,0.00041425,0,0.002071251,0.001657001,0.003314002,0.0008285,0.003728252,0.0008285,0.0008285,0,0,0.004556752,0.00041425,0,0.006628003,0.001242751,0.004556752,0,0.00041425,0.0008285,0.012013256,0.009113505,0.002071251,0.00041425,0,0.001657001,0.002071251,0.003728252,0.004971002,0,0.002071251,0.002899751,0,0.002899751,0.004556752,0,0.002071251,0.004142502,0,0,0.001657001,0.004556752,0.001657001,0,0,0,0.0008285,0,0.002485501,0.001657001,0.010770505,0,0.014498757,0.0008285,0.0008285,0.001657001,0.00041425,0,0.001657001,0.002899751,0,0,0.00041425,0,0.001657001,0.002485501,0,0.002899751,0,0.004142502,6,210,28,163,101,24,19,13,15,1,0,3,27,184,42,0,134,57,57,351,41,57,79,0,409,0,0,53,111,132,17,61,1,146,0,85,17,0.229914309,0.207719024,0.432893175,-0.237437816,105,0.204810873,0.553750677,2652,13.06403941,12.91086675,12390,61.03448276,60.31643808,192,5
