ID,Messages,home,fabric,independence,domestic_work,air_travel,stealing,fire,death,valuable,college,torment,warmth,listen,sports,joy,communication,writing,business,friends,science,clothing,school,medieval,politeness,healing,art,ship,shopping,vehicle,smell,music,furniture,ridicule,strength,ocean,injury,farming,night,disappointment,party,confusion,government,power,fear,beach,anticipation,aggression,pet,driving,traveling,violence,reading,social_media,body,envy,hiking,superhero,banking,cleaning,restaurant,economics,speaking,work,trust,religion,love,play,shame,weather,exotic,negotiate,achievement,phone,messaging,programming,money,plant,zest,optimism,tool,fight,weakness,magic,rage,musical,real_estate,horror,war,kill,attractive,sadness,car,sexual,emotional,lust,timidity,hearing,journalism,nervousness,tourism,military,competing,noise,wealthy,wedding,terrorism,dance,hate,fashion,exasperation,contentment,youth,leader,beauty,eating,swearing_terms,exercise,positive_emotion,heroic,toy,blue_collar_job,breaking,morning,swimming,affection,suffering,computer,negative_emotion,dominant_heirarchical,anonymity,crime,water,children,hipster,liquid,cold,payment,weapon,sympathy,health,urban,royalty,pain,white_collar_job,legend,rural,hygiene,philosophy,anger,cooking,childish,vacation,medical_emergency,shape_and_size,politics,poor,celebration,dominant_personality,animal,law,office,order,giving,divine,meeting,pride,text_abbreviations,masculine,gain,help,deception,feminine,surprise,dispute,cheerfulness,irritability,fun,disgust,occupation,sailing,internet,leisure,ancient,sleep,appearance,movement,worship,technology,alcohol,family,prison,monster,ugliness,sound,neglect,PDT,RB,CD,VBD,WP$,NNP,VBN,WDT,UH,EX,IN,RBS,VBZ,CC,VB,LS,TO,VBP,VBG,POS,JJS,RBR,MD,RP,PRP,DT,WRB,JJR,NNPS,FW,NN,SYM,NNS,PRP$,JJ,WP,PositiveCnt,NegativeCnt,PositiveStd,NegativeStd,PostitiveAvg,NegativeAvg,SubjectiveCnt,SubjectiveStd,SubjectiveAvg,WordSum,WordAvg,WordStd,CharacterSum,CharacterAvg,CharacterStd,UniqueCnt,Score
m7347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,103,103,0,1,9
m4580,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,17,0,131,131,0,1,20
m4868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,103,103,0,1,10
m9741,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,24,12,0,280,140,0,1,14
m1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,7,7,0,57,57,0,1,25
m6094,1,0,0,0,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0.034482759,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,6,0,1,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,139,139,0,1,0
m4230,1,0,0,0,0,0,0,0,0,0,0,0,0,0.130434783,0,0,0.086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,0,0,0,0,0,0,0,0,0,0,0.173913043,0.130434783,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,7,0,2,2,1,0,0,1,0,0,0,-0.25,1,0,0.3,23,23,0,140,140,0,1,19
m3455,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0.3125,0,1,0,0.333333333,12,6,3,121,60.5,42.5,2,9
m7521,2,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0.038461538,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0.038461538,0,0,0,0.076923077,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,3,0,0,1,1,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,8,0,1,0,3,0,0,1,0,0,0,-0.035714286,1,0,0.107142857,26,13,3,202,101,18,2,14
m1206,2,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0.038461538,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0.038461538,0,0,0,0.076923077,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,3,0,0,1,1,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,8,0,1,0,3,0,0,1,0,0,0,-0.035714286,1,0,0.107142857,26,13,3,202,101,18,2,12
m4367,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0.034482759,0,0,0,0,0.034482759,0,0,0,0,0.034482759,0,0,0,0,0,0,0.034482759,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068965517,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,11,0,1,2,1,0,3,0,0.290174756,0,0.604166667,0,3,0.182743158,0.494444444,29,9.666666667,4.714045208,223,74.33333333,39.85250585,3,6
m3814,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0.028571429,0,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057142857,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,1,0,0,0,0.61,0,1,0,0.72,38,12.66666667,5.792715732,331,110.3333333,41.95500235,3,23
m5946,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014705882,0,0,0,0.029411765,0.014705882,0,0,0,0,0,0,0,0,0,0,0,0.014705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014705882,0.014705882,0,0,0,0,0,0,0,0,0,0,0,0.014705882,0.044117647,0,0,0,0,0.014705882,0,0,0,0.014705882,0,0,0.014705882,0,0.014705882,0,0,0,0.014705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014705882,0,0,0,0,0,0,0,0,0,0,0,0.014705882,0,0,0,0.014705882,0,0.014705882,0,0,0,0,0.014705882,0,0,0,0,0,0,0,0,0,0.014705882,0,0.014705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014705882,0,0.014705882,0,0.029411765,0,0,0,0,0,0,0.029411765,0,0,0,0,0,0,0.029411765,0,0,0,0,0.014705882,0,0,0,0.014705882,0,0,0,0,0,0,0,0,0,0,3,2,0,0,15,0,0,0,0,2,0,1,5,7,0,4,4,1,2,0,0,3,1,6,2,0,0,0,0,14,0,5,1,4,0,3,0,0.106555932,0,0.4,0,4,0.167433133,0.389583333,68,17,9.354143467,435,108.75,59.25949291,4,11
m6390,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003663004,0.007326007,0,0,0.025641026,0,0,0.007326007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025641026,0,0.025641026,0.007326007,0.003663004,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0.036630037,0,0,0,0,0.032967033,0,0,0.003663004,0,0,0,0,0,0.007326007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007326007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025641026,0.003663004,0,0,0,0,0,0,0.003663004,0.025641026,0,0,0,0,0.003663004,0.025641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025641026,0,0,0,0,0,0,0.007326007,0,0,0,0.003663004,0,0,0,0,0.003663004,0,0.003663004,0,0,0,0,0,0,0,0,9,2,0,0,79,7,0,0,0,25,0,7,11,10,0,6,10,1,2,0,0,3,1,14,27,0,0,1,0,55,0,8,1,28,0,2,9,0,0.017459427,0.325,-0.10617284,11,0.106994185,0.353156566,273,22.75,2.772634127,1666,138.8333333,6.656241849,5,4
